,ZSPD,FACT,EDDM,OMDB,VIDP,KJFK,LDZA,LFQQ,LKPR,SBGL,EHEH,EGPH,ZBAA,EFRO,EIDW,LGAV,EBBR,LPPT,SAEZ,CYVR,EDDT,MMMX,RJAA,LIME,EETN,LFPG,EDDF,LEMD,CYYZ,LTFM,EFHK,BIKF,ESSA
ZSPD,0,71,85,109,258,241,49,55,74,112,29,47,351,18,80,101,78,65,114,76,117,165,514,186,34,197,86,133,130,187,76,26,79
FACT,78,0,34,30,77,83,15,19,21,64,9,12,72,5,26,31,27,25,55,24,46,58,100,61,10,58,32,50,38,61,22,7,29
EDDM,80,31,0,41,107,113,39,52,75,66,26,28,88,9,55,62,65,47,62,36,115,71,124,157,22,183,100,85,63,125,54,15,62
OMDB,100,43,37,0,122,93,20,28,31,54,16,16,89,8,41,47,41,42,54,32,59,66,139,84,16,87,37,56,48,99,30,10,39
VIDP,231,74,108,144,0,230,47,73,70,127,30,41,266,19,87,92,90,91,130,78,145,157,271,171,39,191,103,134,111,187,85,24,94
KJFK,231,72,98,105,215,0,47,81,88,169,36,51,234,19,119,97,88,107,171,113,135,300,309,204,40,219,100,154,283,188,68,30,99
LDZA,41,15,38,22,50,43,0,21,25,27,9,11,40,4,24,29,29,21,25,15,43,33,57,72,9,72,28,34,25,54,20,5,25
LFQQ,69,20,54,27,64,84,22,0,33,45,22,22,53,7,46,36,76,34,39,26,61,49,81,90,14,165,57,57,46,62,30,10,43
LKPR,63,23,75,28,82,70,27,38,0,44,17,18,63,5,37,43,49,30,35,26,77,58,91,97,14,105,63,60,43,83,34,9,42
SBGL,130,65,61,61,145,168,29,44,41,0,20,29,118,9,68,51,64,63,142,46,83,164,180,103,22,144,60,88,97,112,42,15,60
EHEH,29,10,26,15,36,31,9,21,15,19,0,10,31,3,22,19,35,13,17,11,26,27,41,41,7,56,27,30,20,34,14,4,18
EGPH,39,12,25,18,38,46,10,21,19,26,7,0,32,4,36,21,26,22,23,15,31,38,56,48,7,58,29,35,30,38,17,7,25
ZBAA,382,71,89,98,267,223,46,56,64,113,30,41,0,16,73,92,85,66,109,72,127,168,451,164,29,203,89,120,115,158,68,25,89
EFRO,15,4,9,8,18,19,5,6,7,11,3,4,15,0,8,8,9,6,10,7,14,12,23,16,4,19,9,12,9,15,8,2,10
EIDW,82,29,54,41,80,93,25,44,39,51,21,31,83,9,0,46,56,51,55,32,70,71,117,102,17,137,48,77,54,80,37,14,43
LGAV,74,34,52,51,89,105,29,34,41,58,15,20,95,7,48,0,44,36,47,35,74,78,121,89,17,108,51,75,52,108,42,11,46
EBBR,87,29,63,41,88,109,24,71,44,70,33,26,84,8,60,46,0,44,46,31,89,65,107,127,20,197,82,70,52,96,38,13,48
LPPT,64,33,40,33,72,102,24,34,31,50,14,18,73,6,43,37,44,0,59,27,53,76,111,94,16,127,50,102,48,79,29,12,44
SAEZ,138,58,58,52,127,162,26,43,43,160,19,22,109,9,47,58,55,61,0,50,64,129,179,97,20,128,61,74,93,96,41,14,51
CYVR,74,23,35,35,79,109,16,22,23,55,11,17,69,8,33,27,27,33,58,0,44,96,120,56,14,81,29,55,64,65,27,9,30
EDDT,112,35,104,67,130,144,41,62,94,75,29,37,111,15,69,70,102,54,75,42,0,116,145,194,27,187,88,99,71,135,58,16,86
MMMX,207,52,71,77,182,291,41,58,51,150,24,36,147,12,75,69,74,71,131,98,84,0,259,153,31,158,76,111,172,138,51,21,63
RJAA,534,101,131,126,330,316,55,83,84,180,37,50,441,23,103,118,106,113,177,120,166,234,0,216,48,275,117,190,213,264,105,31,132
LIME,157,61,166,77,160,186,65,95,92,117,46,42,170,17,88,92,121,90,92,65,150,142,222,0,42,294,133,159,102,182,69,23,98
EETN,34,11,25,17,37,36,9,16,16,21,7,8,31,4,18,18,18,15,19,13,29,29,43,41,0,51,19,24,23,34,34,4,31
LFPG,198,77,168,111,224,251,65,158,110,126,63,68,184,16,146,109,177,101,115,81,193,175,272,299,45,0,173,192,127,235,83,29,111
EDDF,84,33,77,48,100,107,35,55,64,68,27,32,86,9,57,59,73,45,60,40,112,87,111,147,22,184,0,75,59,102,44,12,56
LEMD,122,44,82,64,131,159,39,68,50,80,31,34,124,11,70,74,91,102,79,49,93,113,171,146,24,190,77,0,87,153,51,18,62
CYYZ,138,42,60,49,115,297,26,42,43,77,19,31,123,12,58,55,54,53,86,63,64,141,159,106,23,141,68,84,0,94,40,16,59
LTFM,180,62,100,82,200,189,50,77,81,103,32,38,184,16,86,126,99,69,107,68,132,146,233,203,42,235,103,120,106,0,86,21,100
EFHK,82,21,42,32,78,74,23,34,37,45,14,17,70,11,37,37,36,30,37,24,56,60,106,74,30,90,47,54,41,68,0,9,64
BIKF,24,7,12,9,21,32,6,11,9,15,4,7,24,2,13,9,12,11,13,9,16,20,33,23,4,29,13,15,15,21,10,0,12
ESSA,95,27,54,42,96,85,25,41,49,52,21,26,77,10,51,43,50,35,50,39,75,69,117,78,30,116,56,76,54,90,42,13,0
