,LIME,CYYZ,KJFK,RJAA,VIDP,LFPG,EDDT,ZBAA,MMMX,SBGL,EDDM,OMDB,EDDF,LTFM,CYVR,SAEZ,ZSPD,LEMD,EETN,EBBR,ESSA,EGPH,LDZA,EHEH,LFQQ,BIKF,LPPT,LKPR,EIDW,LGAV,EFRO,EFHK,FACT
LIME,0.0,6671.136708671728,6477.675550240074,9698.334104120337,6082.706185320692,654.1798188036887,809.2271754296073,8032.26904485344,9842.13188680207,9300.145436141222,337.8149533285702,4634.411696551434,492.550415734113,1608.6007846928012,8524.300246721084,11262.454460082292,9081.345720298381,1220.367427968824,1829.3731684707757,697.6241308496129,1647.7243899240607,1461.4919162938756,494.3715279576347,716.9528370522909,731.8948304163779,2826.491908642492,1724.0154738241492,598.695349516173,1433.663567238871,1457.2765076695869,2510.9812975034515,1912.2938553387621,8900.787773541293
CYYZ,6671.136708671728,0.0,587.4088954268707,10299.375959386833,11639.223104050201,6018.511701618143,6477.895440186134,10560.263711728265,3247.890977992751,8271.186132408277,6639.638079367699,11080.592571500489,6342.662219553331,8171.274964889148,3346.065262820104,8985.871186138354,11414.11558758609,6058.631933989723,6650.662663103135,6043.2341631455665,6311.706893929508,5342.430556810266,7071.777341214486,6069.742465228985,5973.892370679363,4202.689344520942,5739.078245285105,6682.817209516884,5259.66456365284,8127.399159836934,6243.416783834656,6598.71606358994,13136.631844292497
KJFK,6477.675550240074,587.4088954268707,0.0,10829.468019943439,11754.94829850792,5833.386425117882,6367.419669376641,10977.61138682235,3365.6070797424704,7729.093708099038,6480.773715334404,11000.82939708662,6189.1542734461045,8027.011333646928,3929.667087827683,8534.711892841717,11872.965768605623,5762.025471470951,6649.356410602336,5885.3697807968165,6291.593874633475,5224.818687727301,6905.329783235579,5920.872953839785,5807.873795019511,4197.785190963327,5404.309620041176,6550.828678253268,5102.730002183939,7932.455806289573,6318.434484589655,6606.914800539541,12560.803274067739
RJAA,9698.334104120337,10299.375959386833,10829.468019943439,0.0,5909.250123279566,9709.31227814645,8941.163890156917,2133.3180240322217,11253.545374395047,18531.195791108297,9366.60393351221,7978.6421393820765,9366.014476753255,8980.31098908937,7503.3643827802725,18297.19994521465,1795.1653470701212,10771.365389773611,7898.436176812024,9457.890709909856,8170.395509786672,9254.53199963534,9373.225157229546,9372.118080501896,9543.069153437295,8798.321608971684,11153.913596141403,9102.009097801203,9590.00408587783,9532.669034889863,7370.85294938375,7828.74735963798,14780.473523154042
VIDP,6082.706185320692,11639.223104050201,11754.94829850792,5909.250123279566,0.0,6565.92854943909,5785.915771305621,3811.22316900493,14662.708439597296,14063.511167522962,5899.979912189503,2183.190603769457,6121.185112535329,4566.047060442222,11138.384837166739,15794.490572393017,4292.294164011961,7255.328214906565,5200.6264450305825,6399.817544030502,5583.875141564338,6836.246415386642,5589.209484397878,6331.400341379829,6501.080434257892,7593.777972803409,7767.803301105655,5714.970423703678,7074.36258815461,4983.851376266188,5439.118104243794,5223.847444426262,9282.845350520629
LFPG,654.1798188036887,6018.511701618143,5833.386425117882,9709.31227814645,6565.92854943909,0.0,850.4974971095637,8189.724353071151,9198.923534624388,9184.123131785209,681.5692933331298,5238.30373722851,449.00506895345995,2213.88650722904,7924.983796384183,11100.067083107158,9266.538821703734,1064.514287652328,1837.8392888325443,251.42649654422516,1539.1555178390888,868.6768639079258,1079.12295434704,337.5067385741307,177.29972762352907,2225.1176543641695,1469.9632862919395,852.6058359792816,784.9693369031335,2108.8935232724316,2358.800861619531,1895.5582344575273,9363.399547331674
EDDT,809.2271754296073,6477.895440186134,6367.419669376641,8941.163890156917,5785.915771305621,850.4974971095637,0.0,7357.370941408385,9713.650891230824,9999.899573136834,479.5750967765883,4634.536188630778,431.6826244968808,1712.5684114372132,7979.429067098594,11933.024922521272,8428.152127029933,1853.640992836451,1043.7146044590377,633.1798423077714,838.7723740907484,1142.604257606154,784.5721209488278,554.9586303035887,737.3544487142678,2379.1423258300797,2302.6857424820937,281.576913555292,1308.440821698761,1823.2230335509435,1701.8548750228817,1118.8430222369009,9635.66209352229
ZBAA,8032.26904485344,10560.263711728265,10977.61138682235,2133.3180240322217,3811.22316900493,8189.724353071151,7357.370941408385,0.0,12435.185662210233,17318.624718116444,7721.985707506109,5846.428408163956,7788.395209245619,7061.75886204329,8491.592942617246,19289.70928642004,1098.8391881220052,9206.378510653298,6357.094712899396,7945.907748157385,6691.864080722933,7936.25672217657,7637.516242212898,7858.784279958065,8042.99692176469,7870.884193010363,9657.682879314776,7461.550939385754,8268.747197889683,7607.430542904929,6013.908578937793,6308.537771925007,12967.734897763023
MMMX,9842.13188680207,3247.890977992751,3365.6070797424704,11253.545374395047,14662.708439597296,9198.923534624388,9713.650891230824,12435.185662210233,0.0,7665.076602134776,9844.86446381779,14328.390980757462,9551.980932636412,11389.29648462006,3944.571933641011,7396.77973611544,12896.888950685934,9066.890918984103,9887.012309094367,9248.791253224706,9555.32776316363,8573.011598267407,10270.57949825156,9282.302300217629,9172.519686277623,7447.576134836068,8664.536583495246,9907.578033808217,8465.097546487645,11295.07456624003,9429.19591909452,9830.89999106367,13711.343976959879
SBGL,9300.145436141222,8271.186132408277,7729.093708099038,18531.195791108297,14063.511167522962,9184.123131785209,9999.899573136834,17318.624718116444,7665.076602134776,0.0,9616.447470619587,11884.360300095565,9568.283601551813,10271.767959942494,11212.325649046332,1995.428353470573,18271.284864397905,8146.258928316377,11021.75343361116,9432.38980302497,10709.342326685113,9529.814395113926,9684.845164511811,9519.607478719365,9339.141101101264,9842.304164811861,7714.979604082941,9879.080082772547,9192.749867185408,9730.98460712888,11451.376242794004,11078.85214073269,6087.871598998781
