,LIMC,ZBAA,MMMX,CYVR,EDDM,LFPG,OMDB,EDDT,LTFM,CYYZ,EDDF,SBGL,LEMD,ZSPD,KJFK,VIDP,RJAA,SAEZ,BIKF,EFHK,EIDW,EBBR,LPPT,LFQQ,EHEH,FACT,LDZA,EETN,EGPH,ESSA,LKPR,EFRO,LGAV
LIMC,0.0,8094.086522767396,9775.445770070051,8490.289487372997,382.4534017470018,597.647227692862,4708.190352626581,839.4229173232067,1683.3050965704033,6609.43313822485,490.1396104415254,9240.443773621446,1148.5660668194528,9145.462921839513,6411.630216485815,6159.502244229665,9749.009266937597,11200.030488781033,2789.8815830930635,1951.0929540754787,1381.192654254011,664.3952506566018,1650.4062874119006,689.0474073989398,692.3835754883867,8906.660841148243,571.2976495991094,1870.2436430922335,1423.7549912527588,1675.0268443034151,647.0153232599317,2538.132936085888,1521.438716868451
ZBAA,8094.086522767396,0.0,12435.185662210233,8491.592942617246,7721.985707506109,8189.724353071151,5846.428408163956,7357.370941408385,7061.75886204329,10560.263711728265,7788.395209245619,17318.624718116444,9206.378510653298,1098.8391881220052,10977.61138682235,3811.22316900493,2133.3180240322217,19289.70928642004,7870.884193010363,6308.537771925007,8268.747197889683,7945.907748157385,9657.682879314776,8042.99692176469,7858.784279958065,12967.734897763023,7637.516242212898,6357.094712899396,7936.25672217657,6691.864080722933,7461.550939385754,6013.908578937793,7607.430542904929
MMMX,9775.445770070051,12435.185662210233,0.0,3944.571933641011,9844.86446381779,9198.923534624388,14328.390980757462,9713.650891230824,11389.29648462006,3247.890977992751,9551.980932636412,7665.076602134776,9066.890918984103,12896.888950685934,3365.6070797424704,14662.708439597296,11253.545374395047,7396.77973611544,7447.576134836068,9830.89999106367,8465.097546487645,9248.791253224706,8664.536583495246,9172.519686277623,9282.302300217629,13711.343976959879,10270.57949825156,9887.012309094367,8573.011598267407,9555.32776316363,9907.578033808217,9429.19591909452,11295.07456624003
CYVR,8490.289487372997,8491.592942617246,3944.571933641011,0.0,8340.059905344417,7924.983796384183,11735.171711494506,7979.429067098594,9588.351242168645,3346.065262820104,8062.180754267541,11212.325649046332,8426.398460222947,9016.027042522252,3929.667087827683,11138.384837166739,7503.3643827802725,11306.011894863244,5701.731716788582,7505.149627195536,7164.329817709851,7827.183480204533,8288.503867714651,7804.029472119836,7809.899033180775,16465.20953208748,8746.620493868128,7595.2331088364135,7067.373027293543,7411.6744673739295,8252.779547259795,6878.634761429539,9800.56504320369
EDDM,382.4534017470018,7721.985707506109,9844.86446381779,8340.059905344417,0.0,681.5692933331298,4563.68638327735,479.5750967765883,1547.9829132915345,6639.638079367699,299.0736493547062,9616.447470619587,1496.9693797182808,8778.291229474024,6480.773715334404,5899.979912189503,9366.60393351221,11571.029543749757,2669.2628149565803,1574.5399279099283,1381.2860601870107,596.828250612871,1983.6079398270863,673.6101624423094,573.3926461914037,9179.18835595483,435.372805823521,1491.5970050572942,1330.3366233869128,1317.3110466843007,264.80111614065527,2179.5591456309016,1517.8783303811158
LFPG,597.647227692862,8189.724353071151,9198.923534624388,7924.983796384183,681.5692933331298,0.0,5238.30373722851,850.4974971095637,2213.88650722904,6018.511701618143,449.00506895345995,9184.123131785209,1064.514287652328,9266.538821703734,5833.386425117882,6565.92854943909,9709.31227814645,11100.067083107158,2225.1176543641695,1895.5582344575273,784.9693369031335,251.42649654422516,1469.9632862919395,177.29972762352907,337.5067385741307,9363.399547331674,1079.12295434704,1837.8392888325443,868.6768639079258,1539.1555178390888,852.6058359792816,2358.800861619531,2108.8935232724316
OMDB,4708.190352626581,5846.428408163956,14328.390980757462,11735.171711494506,4563.68638327735,5238.30373722851,0.0,4634.536188630778,3027.9011773987722,11080.592571500489,4842.872064752151,11884.360300095565,5648.573067280119,6448.573340149029,11000.82939708662,2183.190603769457,7978.6421393820765,13675.498953376862,6885.950773003389,4537.025110362885,5918.191105076748,5147.156165772344,6137.549256169119,5233.556863398388,5102.345397401615,7644.498781549268,4162.586440529364,4471.733222742804,5776.784700011543,4784.718435844448,4463.278821580964,5027.306459147683,3271.3092464029237
EDDT,839.4229173232067,7357.370941408385,9713.650891230824,7979.429067098594,479.5750967765883,850.4974971095637,4634.536188630778,0.0,1712.5684114372132,6477.895440186134,431.6826244968808,9999.899573136834,1853.640992836451,8428.152127029933,6367.419669376641,5785.915771305621,8941.163890156917,11933.024922521272,2379.1423258300797,1118.8430222369009,1308.440821698761,633.1798423077714,2302.6857424820937,737.3544487142678,554.9586303035887,9635.66209352229,784.5721209488278,1043.7146044590377,1142.604257606154,838.7723740907484,281.576913555292,1701.8548750228817,1823.2230335509435
LTFM,1683.3050965704033,7061.75886204329,11389.29648462006,9588.351242168645,1547.9829132915345,2213.88650722904,3027.9011773987722,1712.5684114372132,0.0,8171.274964889148,1837.858012568955,10271.767959942494,2702.2488319417575,8021.792958328303,8027.011333646928,4566.047060442222,8980.31098908937,12266.824206187948,4087.246738830808,2134.8799157182702,2924.4683551417634,2141.818322400416,3211.7174335800105,2221.5840343980844,2107.001771303601,8429.362191332484,1135.558870168953,2037.0282863908224,2830.767342771072,2177.481833179683,1489.3589955451396,2818.8505107888336,552.3631359390542
CYYZ,6609.43313822485,10560.263711728265,3247.890977992751,3346.065262820104,6639.638079367699,6018.511701618143,11080.592571500489,6477.895440186134,8171.274964889148,0.0,6342.662219553331,8271.186132408277,6058.631933989723,11414.11558758609,587.4088954268707,11639.223104050201,10299.375959386833,8985.871186138354,4202.689344520942,6598.71606358994,5259.66456365284,6043.2341631455665,5739.078245285105,5973.892370679363,6069.742465228985,13136.631844292497,7071.777341214486,6650.662663103135,5342.430556810266,6311.706893929508,6682.817209516884,6243.416783834656,8127.399159836934
