,EDDM,LIRF,EETN,LTFM,LFPG,EFHK,ESSA,SAEZ,LGAV,LKPR,CYVR,LPPT,SBGL,LDZA,EBBR,OMDB,LEMD,BIKF,ZSPD,CYYZ,FACT,EHEH,KJFK,LFQQ,VIDP,ZBAA,RJAA,EFRO,EIDW,EGPH,MMMX,EDDT,EDDF
EDDM,0,81,18,113,174,40,67,46,59,60,37,47,58,38,68,44,89,13,104,69,35,22,116,50,98,99,135,9,56,22,81,93,84
LIRF,98,0,27,133,165,50,69,76,69,53,43,59,99,45,72,57,98,15,122,71,38,31,124,52,130,115,166,10,62,30,100,109,86
EETN,21,23,0,39,42,30,29,20,19,17,13,16,23,10,16,15,23,4,31,19,12,6,38,13,41,32,47,4,20,9,26,32,20
LTFM,128,147,34,0,216,83,113,110,157,73,68,78,111,64,93,95,122,20,177,104,66,32,166,59,209,175,227,16,86,47,141,131,99
LFPG,166,168,44,236,0,87,123,137,103,106,81,117,145,70,162,100,190,27,217,148,68,68,267,157,223,179,285,21,149,67,150,204,188
EFHK,44,47,31,81,92,0,56,39,35,31,27,29,46,19,36,38,47,8,73,43,25,13,84,29,84,65,108,10,35,15,66,53,32
ESSA,51,63,28,91,129,54,0,55,40,46,32,34,54,23,47,49,62,12,81,53,29,18,94,36,99,85,109,10,49,24,73,80,53
SAEZ,48,72,19,101,117,42,45,0,54,41,56,56,127,24,49,51,84,14,114,89,59,17,139,36,121,112,166,10,62,24,130,57,57
LGAV,55,78,17,124,111,38,41,54,0,38,32,37,54,27,52,35,64,11,94,50,30,15,92,39,93,79,113,6,43,19,65,74,44
LKPR,73,56,18,84,97,30,45,38,42,0,22,33,47,27,44,31,60,10,73,33,25,17,91,39,73,68,98,6,42,18,59,86,53
CYVR,35,40,11,70,76,29,30,58,31,23,0,31,51,13,31,32,50,9,94,65,24,12,115,23,89,76,114,6,26,15,85,39,32
LPPT,38,57,14,72,112,30,32,53,42,29,30,0,58,21,42,35,91,9,80,52,29,14,90,35,71,72,103,8,50,19,72,57,53
SBGL,61,81,23,112,136,43,54,142,58,46,56,53,0,28,57,61,81,15,112,97,58,22,170,42,133,115,159,12,59,24,147,75,62
LDZA,37,48,10,60,60,16,25,26,25,28,17,20,29,0,25,22,35,5,47,28,14,10,46,17,44,42,55,4,25,12,32,42,31
EBBR,67,66,18,84,181,42,47,44,46,43,32,41,57,27,0,37,75,12,85,55,29,33,101,74,78,82,107,10,60,27,64,84,75
OMDB,44,60,15,103,88,30,42,54,52,34,31,38,58,21,40,0,64,10,103,49,35,13,109,34,136,96,132,7,35,18,62,58,43
LEMD,90,110,22,124,180,47,59,76,61,63,43,81,92,39,70,66,0,19,104,81,49,26,161,60,152,112,173,13,64,33,94,101,76
BIKF,14,14,5,21,30,10,13,16,11,8,9,10,17,4,12,10,20,0,21,20,8,4,36,9,27,22,33,2,17,6,22,16,13
ZSPD,86,117,35,156,187,68,91,110,99,64,93,71,132,43,97,103,128,25,0,132,69,31,206,62,262,359,449,15,82,46,192,131,94
CYYZ,62,78,20,111,115,37,61,91,55,45,64,49,84,24,54,48,84,20,110,0,44,19,271,45,126,109,184,10,57,25,128,84,52
FACT,28,40,11,62,78,23,30,45,36,21,26,26,58,15,28,38,45,8,60,46,0,10,84,21,78,69,97,5,28,13,62,41,31
EHEH,26,23,6,37,55,12,14,20,15,18,11,16,19,9,32,16,29,4,29,19,10,0,36,21,30,30,42,3,17,8,25,30,31
KJFK,132,120,40,175,220,81,104,148,86,81,103,104,188,47,84,93,168,31,227,277,74,37,0,67,198,231,311,20,96,43,233,137,104
LFQQ,49,53,13,71,171,27,33,38,35,33,20,37,45,21,67,28,58,8,63,34,20,24,73,0,69,66,88,6,45,21,49,65,53
VIDP,80,122,35,199,213,67,84,137,91,75,70,82,116,55,89,153,141,24,279,127,72,30,227,73,0,251,329,18,88,39,164,139,92
ZBAA,83,130,34,154,207,72,92,122,81,71,84,72,117,41,78,94,112,18,322,130,68,30,188,65,240,0,372,16,80,34,163,117,79
RJAA,124,176,46,239,303,79,123,182,141,102,132,101,174,65,120,127,148,30,445,189,93,42,305,88,375,419,0,23,117,51,286,168,108
EFRO,10,11,4,16,20,9,11,9,7,7,6,6,9,4,8,7,11,2,17,11,5,3,20,6,17,16,24,0,8,4,13,13,9
EIDW,56,58,18,78,156,38,57,52,35,34,32,44,55,21,58,32,81,15,92,49,28,21,112,47,86,73,120,8,0,39,75,67,53
EGPH,28,30,8,40,72,19,22,21,19,17,15,21,25,13,26,21,33,6,39,26,14,9,42,23,41,37,55,4,32,0,37,39,26
MMMX,73,96,23,131,161,51,79,127,71,58,80,69,128,33,70,76,110,20,163,167,62,23,262,52,161,175,254,12,69,33,0,83,83
EDDT,102,97,28,134,244,65,77,72,62,92,41,60,80,40,94,58,97,16,120,76,42,35,137,57,133,114,157,13,59,30,95,0,92
EDDF,94,82,22,102,193,38,52,52,55,70,34,51,61,31,72,43,75,13,87,56,30,29,97,54,97,88,124,8,56,27,77,104,0
