,LIRF,LTFM,OMDB,ZSPD,MMMX,EDDF,LEMD,CYYZ,EDDT,SBGL,VIDP,KJFK,EDDM,SAEZ,ZBAA,LFPG,CYVR,RJAA,EHEH,BIKF,LPPT,FACT,LFQQ,LDZA,EBBR,LKPR,EFRO,ESSA,EIDW,EFHK,EETN,LGAV,EGPH
LIRF,0.0,1373.0851274414642,4342.77025770545,9172.06002239199,10223.713813904815,961.0099196871063,1329.6414771353595,7086.091111460242,1201.9453532976966,9169.145384992777,5933.755490675376,6867.05238818525,732.5545180372009,11152.64657458875,8150.518949275133,1103.018721080239,9002.229875705996,9907.71324590243,1195.6116672542362,3302.877772645817,1838.6369514241565,8447.492147870096,1202.6733084178702,537.5358486485911,1175.0465897459446,939.0896343890475,2879.518914006426,2026.0100284147838,1887.877045473529,2236.527853659462,2144.7432662773303,1085.5162109803623,1936.9351306841388
LTFM,1373.0851274414642,0.0,3027.9011773987722,8021.792958328303,11389.29648462006,1837.858012568955,2702.2488319417575,8171.274964889148,1712.5684114372132,10271.767959942494,4566.047060442222,8027.011333646928,1547.9829132915345,12266.824206187948,7061.75886204329,2213.88650722904,9588.351242168645,8980.31098908937,2107.001771303601,4087.246738830808,3211.7174335800105,8429.362191332484,2221.5840343980844,1135.558870168953,2141.818322400416,1489.3589955451396,2818.8505107888336,2177.481833179683,2924.4683551417634,2134.8799157182702,2037.0282863908224,552.3631359390542,2830.767342771072
OMDB,4342.77025770545,3027.9011773987722,0.0,6448.573340149029,14328.390980757462,4842.872064752151,5648.573067280119,11080.592571500489,4634.536188630778,11884.360300095565,2183.190603769457,11000.82939708662,4563.68638327735,13675.498953376862,5846.428408163956,5238.30373722851,11735.171711494506,7978.6421393820765,5102.345397401615,6885.950773003389,6137.549256169119,7644.498781549268,5233.556863398388,4162.586440529364,5147.156165772344,4463.278821580964,5027.306459147683,4784.718435844448,5918.191105076748,4537.025110362885,4471.733222742804,3271.3092464029237,5776.784700011543
ZSPD,9172.06002239199,8021.792958328303,6448.573340149029,0.0,12896.888950685934,8857.834873324387,10270.038168674499,11414.11558758609,8428.152127029933,18271.284864397905,4292.294164011961,11872.965768605623,8778.291229474024,19605.48726466171,1098.8391881220052,9266.538821703734,9016.027042522252,1795.1653470701212,8938.065932826861,8956.580903846041,10730.78496714352,12989.53522682959,9123.256093925884,8670.244773563427,9024.973770238224,8520.514010353765,7111.796723483437,7780.26414951412,9364.445984146492,7393.997300475772,7439.701976930367,8557.446927892031,9032.685343726816
MMMX,10223.713813904815,11389.29648462006,14328.390980757462,12896.888950685934,0.0,9551.980932636412,9066.890918984103,3247.890977992751,9713.650891230824,7665.076602134776,14662.708439597296,3365.6070797424704,9844.86446381779,7396.77973611544,12435.185662210233,9198.923534624388,3944.571933641011,11253.545374395047,9282.302300217629,7447.576134836068,8664.536583495246,13711.343976959879,9172.519686277623,10270.57949825156,9248.791253224706,9907.578033808217,9429.19591909452,9555.32776316363,8465.097546487645,9830.89999106367,9887.012309094367,11295.07456624003,8573.011598267407
EDDF,961.0099196871063,1837.858012568955,4842.872064752151,8857.834873324387,9551.980932636412,0.0,1422.050572145159,6342.662219553331,431.6826244968808,9568.283601551813,6121.185112535329,6189.1542734461045,299.0736493547062,11502.137750607373,7788.395209245619,449.00506895345995,8062.180754267541,9366.014476753255,274.34672759363383,2379.55963806095,1873.84706028188,9393.055953949077,392.7983156454291,734.44155732098,304.70667836915743,406.27801971921986,2079.668281738598,1222.987175365273,1086.8940196113897,1537.9389925099097,1467.8755620952131,1815.8370182307754,1032.8584656977316
LEMD,1329.6414771353595,2702.2488319417575,5648.573067280119,10270.038168674499,9066.890918984103,1422.050572145159,0.0,6058.631933989723,1853.640992836451,8146.258928316377,7255.328214906565,5762.025471470951,1496.9693797182808,10084.891062660701,9206.378510653298,1064.514287652328,8426.398460222947,10771.365389773611,1400.4404453661639,2888.0069315874402,512.8845584370001,8584.107113717999,1235.5813496072453,1692.5382745319923,1315.552739483112,1750.6615229202562,3422.0000222935455,2601.3493707511634,1454.225118962622,2947.4320721225527,2883.3149200833927,2377.4313326404604,1721.1421621023853
CYYZ,7086.091111460242,8171.274964889148,11080.592571500489,11414.11558758609,3247.890977992751,6342.662219553331,6058.631933989723,0.0,6477.895440186134,8271.186132408277,11639.223104050201,587.4088954268707,6639.638079367699,8985.871186138354,10560.263711728265,6018.511701618143,3346.065262820104,10299.375959386833,6069.742465228985,4202.689344520942,5739.078245285105,13136.631844292497,5973.892370679363,7071.777341214486,6043.2341631455665,6682.817209516884,6243.416783834656,6311.706893929508,5259.66456365284,6598.71606358994,6650.662663103135,8127.399159836934,5342.430556810266
EDDT,1201.9453532976966,1712.5684114372132,4634.536188630778,8428.152127029933,9713.650891230824,431.6826244968808,1853.640992836451,6477.895440186134,0.0,9999.899573136834,5785.915771305621,6367.419669376641,479.5750967765883,11933.024922521272,7357.370941408385,850.4974971095637,7979.429067098594,8941.163890156917,554.9586303035887,2379.1423258300797,2302.6857424820937,9635.66209352229,737.3544487142678,784.5721209488278,633.1798423077714,281.576913555292,1701.8548750228817,838.7723740907484,1308.440821698761,1118.8430222369009,1043.7146044590377,1823.2230335509435,1142.604257606154
SBGL,9169.145384992777,10271.767959942494,11884.360300095565,18271.284864397905,7665.076602134776,9568.283601551813,8146.258928316377,8271.186132408277,9999.899573136834,0.0,14063.511167522962,7729.093708099038,9616.447470619587,1995.428353470573,17318.624718116444,9184.123131785209,11212.325649046332,18531.195791108297,9519.607478719365,9842.304164811861,7714.979604082941,6087.871598998781,9339.141101101264,9684.845164511811,9432.38980302497,9879.080082772547,11451.376242794004,10709.342326685113,9192.749867185408,11078.85214073269,11021.75343361116,9730.98460712888,9529.814395113926
