,LIME,ZSPD,VIDP,LFPG,SAEZ,KJFK,CYVR,OMDB,EDDT,LTFM,EDDM,LEMD,ZBAA,EDDF,CYYZ,SBGL,MMMX,RJAA,EIDW,EGPH,ESSA,LPPT,LDZA,FACT,EBBR,EETN,EHEH,LFQQ,BIKF,LGAV,EFHK,LKPR,EFRO
LIME,0.0,9081.345720298381,6082.706185320692,654.1798188036887,11262.454460082292,6477.675550240074,8524.300246721084,4634.411696551434,809.2271754296073,1608.6007846928012,337.8149533285702,1220.367427968824,8032.26904485344,492.550415734113,6671.136708671728,9300.145436141222,9842.13188680207,9698.334104120337,1433.663567238871,1461.4919162938756,1647.7243899240607,1724.0154738241492,494.3715279576347,8900.787773541293,697.6241308496129,1829.3731684707757,716.9528370522909,731.8948304163779,2826.491908642492,1457.2765076695869,1912.2938553387621,598.695349516173,2510.9812975034515
ZSPD,9081.345720298381,0.0,4292.294164011961,9266.538821703734,19605.48726466171,11872.965768605623,9016.027042522252,6448.573340149029,8428.152127029933,8021.792958328303,8778.291229474024,10270.038168674499,1098.8391881220052,8857.834873324387,11414.11558758609,18271.284864397905,12896.888950685934,1795.1653470701212,9364.445984146492,9032.685343726816,7780.26414951412,10730.78496714352,8670.244773563427,12989.53522682959,9024.973770238224,7439.701976930367,8938.065932826861,9123.256093925884,8956.580903846041,8557.446927892031,7393.997300475772,8520.514010353765,7111.796723483437
VIDP,6082.706185320692,4292.294164011961,0.0,6565.92854943909,15794.490572393017,11754.94829850792,11138.384837166739,2183.190603769457,5785.915771305621,4566.047060442222,5899.979912189503,7255.328214906565,3811.22316900493,6121.185112535329,11639.223104050201,14063.511167522962,14662.708439597296,5909.250123279566,7074.36258815461,6836.246415386642,5583.875141564338,7767.803301105655,5589.209484397878,9282.845350520629,6399.817544030502,5200.6264450305825,6331.400341379829,6501.080434257892,7593.777972803409,4983.851376266188,5223.847444426262,5714.970423703678,5439.118104243794
LFPG,654.1798188036887,9266.538821703734,6565.92854943909,0.0,11100.067083107158,5833.386425117882,7924.983796384183,5238.30373722851,850.4974971095637,2213.88650722904,681.5692933331298,1064.514287652328,8189.724353071151,449.00506895345995,6018.511701618143,9184.123131785209,9198.923534624388,9709.31227814645,784.9693369031335,868.6768639079258,1539.1555178390888,1469.9632862919395,1079.12295434704,9363.399547331674,251.42649654422516,1837.8392888325443,337.5067385741307,177.29972762352907,2225.1176543641695,2108.8935232724316,1895.5582344575273,852.6058359792816,2358.800861619531
SAEZ,11262.454460082292,19605.48726466171,15794.490572393017,11100.067083107158,0.0,8534.711892841717,11306.011894863244,13675.498953376862,11933.024922521272,12266.824206187948,11571.029543749757,10084.891062660701,19289.70928642004,11502.137750607373,8985.871186138354,1995.428353470573,7396.77973611544,18297.19994521465,11025.405820274522,11358.623493704585,12598.548940741373,9632.30052917482,11662.142744355435,6886.082041979985,11343.810900959297,12932.640473630083,11430.931607617464,11246.712767060582,11460.844970957083,11725.05562218717,12981.387744901565,11830.92337423204,13282.900559270385
KJFK,6477.675550240074,11872.965768605623,11754.94829850792,5833.386425117882,8534.711892841717,0.0,3929.667087827683,11000.82939708662,6367.419669376641,8027.011333646928,6480.773715334404,5762.025471470951,10977.61138682235,6189.1542734461045,587.4088954268707,7729.093708099038,3365.6070797424704,10829.468019943439,5102.730002183939,5224.818687727301,6291.593874633475,5404.309620041176,6905.329783235579,12560.803274067739,5885.3697807968165,6649.356410602336,5920.872953839785,5807.873795019511,4197.785190963327,7932.455806289573,6606.914800539541,6550.828678253268,6318.434484589655
CYVR,8524.300246721084,9016.027042522252,11138.384837166739,7924.983796384183,11306.011894863244,3929.667087827683,0.0,11735.171711494506,7979.429067098594,9588.351242168645,8340.059905344417,8426.398460222947,8491.592942617246,8062.180754267541,3346.065262820104,11212.325649046332,3944.571933641011,7503.3643827802725,7164.329817709851,7067.373027293543,7411.6744673739295,8288.503867714651,8746.620493868128,16465.20953208748,7827.183480204533,7595.2331088364135,7809.899033180775,7804.029472119836,5701.731716788582,9800.56504320369,7505.149627195536,8252.779547259795,6878.634761429539
OMDB,4634.411696551434,6448.573340149029,2183.190603769457,5238.30373722851,13675.498953376862,11000.82939708662,11735.171711494506,0.0,4634.536188630778,3027.9011773987722,4563.68638327735,5648.573067280119,5846.428408163956,4842.872064752151,11080.592571500489,11884.360300095565,14328.390980757462,7978.6421393820765,5918.191105076748,5776.784700011543,4784.718435844448,6137.549256169119,4162.586440529364,7644.498781549268,5147.156165772344,4471.733222742804,5102.345397401615,5233.556863398388,6885.950773003389,3271.3092464029237,4537.025110362885,4463.278821580964,5027.306459147683
EDDT,809.2271754296073,8428.152127029933,5785.915771305621,850.4974971095637,11933.024922521272,6367.419669376641,7979.429067098594,4634.536188630778,0.0,1712.5684114372132,479.5750967765883,1853.640992836451,7357.370941408385,431.6826244968808,6477.895440186134,9999.899573136834,9713.650891230824,8941.163890156917,1308.440821698761,1142.604257606154,838.7723740907484,2302.6857424820937,784.5721209488278,9635.66209352229,633.1798423077714,1043.7146044590377,554.9586303035887,737.3544487142678,2379.1423258300797,1823.2230335509435,1118.8430222369009,281.576913555292,1701.8548750228817
LTFM,1608.6007846928012,8021.792958328303,4566.047060442222,2213.88650722904,12266.824206187948,8027.011333646928,9588.351242168645,3027.9011773987722,1712.5684114372132,0.0,1547.9829132915345,2702.2488319417575,7061.75886204329,1837.858012568955,8171.274964889148,10271.767959942494,11389.29648462006,8980.31098908937,2924.4683551417634,2830.767342771072,2177.481833179683,3211.7174335800105,1135.558870168953,8429.362191332484,2141.818322400416,2037.0282863908224,2107.001771303601,2221.5840343980844,4087.246738830808,552.3631359390542,2134.8799157182702,1489.3589955451396,2818.8505107888336
