,KJFK,LDZA,VIDP,EDDT,CYVR,SBGL,EIDW,EETN,LPPT,RJAA,ESSA,LTFM,EBBR,CYYZ,FACT,LFPG,EDDF,EFRO,LGAV,EFHK,LIME,SAEZ,LKPR,LFQQ,ZBAA,LEMD,MMMX,OMDB,EDDM,EHEH,ZSPD,BIKF,EGPH
KJFK,0,50,232,136,114,166,108,33,112,332,85,170,102,309,85,257,102,23,99,67,200,177,79,78,193,150,269,90,115,36,224,34,59
LDZA,47,0,48,43,15,27,26,10,22,58,23,53,25,28,14,66,37,4,32,20,72,25,30,19,43,34,35,20,37,11,47,5,10
VIDP,226,45,0,104,85,155,80,40,75,354,90,227,94,144,73,211,84,17,106,81,199,121,73,74,263,131,189,138,99,28,285,24,37
EDDT,134,41,128,0,43,66,67,27,61,158,82,135,74,77,36,192,108,12,67,62,156,67,79,59,127,99,94,58,111,31,131,18,33
CYVR,103,15,72,41,0,53,33,12,32,134,30,65,31,63,25,72,33,7,28,26,58,47,21,24,76,51,84,34,31,12,80,9,14
SBGL,174,28,144,80,54,0,50,23,57,192,48,124,65,103,65,149,63,9,59,40,105,140,46,40,126,91,117,61,59,18,117,13,24
EIDW,102,22,87,71,33,63,0,22,45,125,45,92,59,55,22,147,51,8,36,37,108,56,39,44,83,74,78,42,60,18,83,14,36
EETN,35,9,40,30,11,23,16,0,15,41,28,30,18,21,10,53,21,5,20,30,36,19,16,13,32,25,28,16,22,6,38,5,8
LPPT,103,19,81,53,29,55,41,16,0,94,40,76,40,55,24,117,46,7,43,29,94,47,32,34,79,99,74,36,54,18,63,12,23
RJAA,325,54,377,159,106,189,120,51,111,0,143,263,115,184,97,243,122,21,122,101,217,177,99,91,454,187,242,137,110,41,499,32,51
ESSA,92,25,83,83,36,55,45,31,31,110,0,88,42,52,28,125,61,11,42,62,103,53,45,39,88,61,69,34,64,19,89,14,20
LTFM,201,56,211,132,71,106,83,36,81,237,99,0,88,107,62,209,93,17,133,76,166,116,77,66,180,127,136,106,124,38,163,21,40
EBBR,97,29,91,93,38,48,59,21,42,105,55,98,0,51,30,180,79,8,46,39,120,46,41,74,82,74,66,39,69,33,66,14,23
CYYZ,279,28,136,75,64,98,54,21,55,191,59,105,57,0,47,136,51,9,52,42,114,86,42,42,131,81,164,58,56,17,136,17,25
FACT,89,15,75,37,29,66,23,12,27,97,33,65,28,48,0,75,31,6,25,23,58,57,20,18,71,50,67,40,26,9,76,8,13
LFPG,213,64,211,186,67,152,129,39,116,280,111,210,170,139,82,0,182,19,117,98,309,137,120,161,191,201,170,106,172,58,183,31,63
EDDF,110,30,95,101,32,65,53,22,51,117,50,97,76,59,32,180,0,9,42,37,118,50,68,49,89,88,66,37,92,24,101,12,26
EFRO,19,4,18,13,6,8,9,4,6,23,11,18,7,11,5,21,10,0,8,9,16,10,7,7,18,11,14,7,8,3,18,2,4
LGAV,81,27,111,63,31,63,47,18,48,112,46,155,40,49,33,106,49,6,0,35,106,50,37,35,82,69,74,47,60,17,90,11,20
EFHK,77,19,73,55,25,40,36,33,27,96,57,71,42,46,24,82,42,9,34,0,64,41,32,27,70,50,52,35,47,13,61,9,16
LIME,196,68,175,145,60,124,102,33,106,212,84,195,111,104,61,301,133,18,103,77,0,95,97,96,160,171,145,79,149,43,176,26,47
SAEZ,148,23,128,69,47,169,51,20,53,175,55,90,50,80,63,107,60,9,55,42,111,0,41,34,125,86,137,52,58,19,112,15,22
LKPR,80,23,69,82,23,43,38,14,30,85,39,81,35,48,25,107,57,7,39,27,87,39,0,30,66,64,65,33,64,15,61,9,21
LFQQ,81,23,68,63,25,44,44,15,37,91,41,68,70,43,19,142,59,6,37,26,86,40,38,0,64,65,52,27,54,22,62,9,19
ZBAA,230,37,297,118,87,131,79,32,79,456,82,170,81,111,78,217,82,19,82,65,145,101,66,58,0,114,147,106,93,28,352,21,41
LEMD,143,41,138,96,49,84,73,24,104,188,64,138,77,97,45,198,84,10,70,51,159,79,60,54,131,0,102,61,77,27,112,19,36
MMMX,285,37,176,100,98,135,75,26,61,255,79,135,67,136,63,176,64,13,64,59,138,158,51,60,171,126,0,79,81,27,185,22,31
OMDB,103,20,123,54,33,59,40,16,35,156,48,92,41,63,36,94,48,7,46,33,85,46,35,28,107,58,73,0,47,15,95,11,18
EDDM,101,36,106,105,37,68,52,23,51,141,57,111,66,67,36,183,88,10,60,48,156,63,73,47,83,87,81,41,0,23,93,13,27
EHEH,35,11,32,29,13,19,20,6,16,45,18,33,34,16,11,59,29,3,15,14,39,17,18,22,29,25,23,13,20,0,33,4,9
ZSPD,242,42,229,106,80,108,96,34,73,531,78,191,69,135,70,214,93,16,86,77,158,111,67,71,360,122,198,115,83,33,0,23,40
BIKF,30,6,24,15,9,16,14,4,9,40,13,24,11,16,7,30,13,2,11,9,22,15,8,9,21,18,22,11,12,4,22,0,7
EGPH,49,11,40,29,17,28,37,8,21,54,25,41,28,26,14,68,28,4,20,18,44,25,20,21,38,35,37,16,29,10,36,6,0
