,LIME,RJAA,CYVR,LTFM,ZSPD,ZBAA,KJFK,SAEZ,MMMX,SBGL,VIDP,EDDM,EDDT,OMDB,EDDF,LEMD,CYYZ,LFPG,LKPR,FACT,ESSA,BIKF,LDZA,LGAV,EIDW,EFRO,LPPT,EGPH,EETN,LFQQ,EHEH,EFHK,EBBR
LIME,0.0,9698.334104120337,8524.300246721084,1608.6007846928012,9081.345720298381,8032.26904485344,6477.675550240074,11262.454460082292,9842.13188680207,9300.145436141222,6082.706185320692,337.8149533285702,809.2271754296073,4634.411696551434,492.550415734113,1220.367427968824,6671.136708671728,654.1798188036887,598.695349516173,8900.787773541293,1647.7243899240607,2826.491908642492,494.3715279576347,1457.2765076695869,1433.663567238871,2510.9812975034515,1724.0154738241492,1461.4919162938756,1829.3731684707757,731.8948304163779,716.9528370522909,1912.2938553387621,697.6241308496129
RJAA,9698.334104120337,0.0,7503.3643827802725,8980.31098908937,1795.1653470701212,2133.3180240322217,10829.468019943439,18297.19994521465,11253.545374395047,18531.195791108297,5909.250123279566,9366.60393351221,8941.163890156917,7978.6421393820765,9366.014476753255,10771.365389773611,10299.375959386833,9709.31227814645,9102.009097801203,14780.473523154042,8170.395509786672,8798.321608971684,9373.225157229546,9532.669034889863,9590.00408587783,7370.85294938375,11153.913596141403,9254.53199963534,7898.436176812024,9543.069153437295,9372.118080501896,7828.74735963798,9457.890709909856
CYVR,8524.300246721084,7503.3643827802725,0.0,9588.351242168645,9016.027042522252,8491.592942617246,3929.667087827683,11306.011894863244,3944.571933641011,11212.325649046332,11138.384837166739,8340.059905344417,7979.429067098594,11735.171711494506,8062.180754267541,8426.398460222947,3346.065262820104,7924.983796384183,8252.779547259795,16465.20953208748,7411.6744673739295,5701.731716788582,8746.620493868128,9800.56504320369,7164.329817709851,6878.634761429539,8288.503867714651,7067.373027293543,7595.2331088364135,7804.029472119836,7809.899033180775,7505.149627195536,7827.183480204533
LTFM,1608.6007846928012,8980.31098908937,9588.351242168645,0.0,8021.792958328303,7061.75886204329,8027.011333646928,12266.824206187948,11389.29648462006,10271.767959942494,4566.047060442222,1547.9829132915345,1712.5684114372132,3027.9011773987722,1837.858012568955,2702.2488319417575,8171.274964889148,2213.88650722904,1489.3589955451396,8429.362191332484,2177.481833179683,4087.246738830808,1135.558870168953,552.3631359390542,2924.4683551417634,2818.8505107888336,3211.7174335800105,2830.767342771072,2037.0282863908224,2221.5840343980844,2107.001771303601,2134.8799157182702,2141.818322400416
ZSPD,9081.345720298381,1795.1653470701212,9016.027042522252,8021.792958328303,0.0,1098.8391881220052,11872.965768605623,19605.48726466171,12896.888950685934,18271.284864397905,4292.294164011961,8778.291229474024,8428.152127029933,6448.573340149029,8857.834873324387,10270.038168674499,11414.11558758609,9266.538821703734,8520.514010353765,12989.53522682959,7780.26414951412,8956.580903846041,8670.244773563427,8557.446927892031,9364.445984146492,7111.796723483437,10730.78496714352,9032.685343726816,7439.701976930367,9123.256093925884,8938.065932826861,7393.997300475772,9024.973770238224
ZBAA,8032.26904485344,2133.3180240322217,8491.592942617246,7061.75886204329,1098.8391881220052,0.0,10977.61138682235,19289.70928642004,12435.185662210233,17318.624718116444,3811.22316900493,7721.985707506109,7357.370941408385,5846.428408163956,7788.395209245619,9206.378510653298,10560.263711728265,8189.724353071151,7461.550939385754,12967.734897763023,6691.864080722933,7870.884193010363,7637.516242212898,7607.430542904929,8268.747197889683,6013.908578937793,9657.682879314776,7936.25672217657,6357.094712899396,8042.99692176469,7858.784279958065,6308.537771925007,7945.907748157385
KJFK,6477.675550240074,10829.468019943439,3929.667087827683,8027.011333646928,11872.965768605623,10977.61138682235,0.0,8534.711892841717,3365.6070797424704,7729.093708099038,11754.94829850792,6480.773715334404,6367.419669376641,11000.82939708662,6189.1542734461045,5762.025471470951,587.4088954268707,5833.386425117882,6550.828678253268,12560.803274067739,6291.593874633475,4197.785190963327,6905.329783235579,7932.455806289573,5102.730002183939,6318.434484589655,5404.309620041176,5224.818687727301,6649.356410602336,5807.873795019511,5920.872953839785,6606.914800539541,5885.3697807968165
SAEZ,11262.454460082292,18297.19994521465,11306.011894863244,12266.824206187948,19605.48726466171,19289.70928642004,8534.711892841717,0.0,7396.77973611544,1995.428353470573,15794.490572393017,11571.029543749757,11933.024922521272,13675.498953376862,11502.137750607373,10084.891062660701,8985.871186138354,11100.067083107158,11830.92337423204,6886.082041979985,12598.548940741373,11460.844970957083,11662.142744355435,11725.05562218717,11025.405820274522,13282.900559270385,9632.30052917482,11358.623493704585,12932.640473630083,11246.712767060582,11430.931607617464,12981.387744901565,11343.810900959297
MMMX,9842.13188680207,11253.545374395047,3944.571933641011,11389.29648462006,12896.888950685934,12435.185662210233,3365.6070797424704,7396.77973611544,0.0,7665.076602134776,14662.708439597296,9844.86446381779,9713.650891230824,14328.390980757462,9551.980932636412,9066.890918984103,3247.890977992751,9198.923534624388,9907.578033808217,13711.343976959879,9555.32776316363,7447.576134836068,10270.57949825156,11295.07456624003,8465.097546487645,9429.19591909452,8664.536583495246,8573.011598267407,9887.012309094367,9172.519686277623,9282.302300217629,9830.89999106367,9248.791253224706
SBGL,9300.145436141222,18531.195791108297,11212.325649046332,10271.767959942494,18271.284864397905,17318.624718116444,7729.093708099038,1995.428353470573,7665.076602134776,0.0,14063.511167522962,9616.447470619587,9999.899573136834,11884.360300095565,9568.283601551813,8146.258928316377,8271.186132408277,9184.123131785209,9879.080082772547,6087.871598998781,10709.342326685113,9842.304164811861,9684.845164511811,9730.98460712888,9192.749867185408,11451.376242794004,7714.979604082941,9529.814395113926,11021.75343361116,9339.141101101264,9519.607478719365,11078.85214073269,9432.38980302497
