,EETN,LGAV,LFPG,ESSA,LKPR,RJAA,LTFM,LFQQ,VIDP,SAEZ,EGPH,CYYZ,CYVR,LIME,MMMX,FACT,ZSPD,LEMD,KJFK,EHEH,EBBR,OMDB,ZBAA,EIDW,LPPT,EFRO,SBGL,EDDT,EDDM,EDDF,EFHK,BIKF,LDZA
EETN,0,19,44,27,16,47,31,12,40,19,8,22,12,36,30,10,34,21,45,6,17,18,35,17,16,4,21,29,19,18,36,5,9
LGAV,18,0,114,46,40,110,126,37,102,58,20,48,27,116,75,32,87,69,91,16,52,51,71,44,43,8,54,69,56,52,30,11,26
LFPG,41,131,0,110,117,260,220,151,227,126,61,138,76,297,189,71,181,214,211,61,188,94,177,152,120,19,125,183,170,155,94,32,58
ESSA,29,44,128,0,44,121,99,39,94,58,24,49,34,98,66,28,75,62,98,19,57,37,80,52,37,10,57,79,60,47,54,13,23
LKPR,17,38,116,44,0,95,72,34,76,36,20,46,23,84,54,20,71,61,69,16,41,31,62,41,37,6,47,71,74,53,30,8,24
RJAA,50,123,280,134,80,0,232,96,325,154,52,176,126,243,270,98,521,167,282,39,117,125,415,90,105,25,183,171,138,111,102,31,63
LTFM,38,136,213,92,86,253,0,65,189,101,36,114,51,192,115,58,175,143,187,36,84,103,158,94,69,15,106,153,106,87,69,23,54
LFQQ,12,40,151,43,36,93,55,0,63,39,23,41,26,91,54,22,70,60,80,23,76,33,55,42,37,7,45,66,52,59,32,9,21
VIDP,41,111,219,93,76,342,190,62,0,113,44,117,74,212,168,79,252,139,250,30,85,120,257,94,77,18,115,117,98,104,74,25,46
SAEZ,18,54,119,47,42,170,111,38,110,0,25,84,51,116,130,61,117,84,165,18,43,48,110,59,53,10,155,76,57,55,43,14,25
EGPH,10,22,73,24,19,59,42,21,41,22,0,30,13,39,31,13,37,30,51,9,23,19,37,32,21,4,23,29,27,28,17,6,10
CYYZ,19,56,115,55,46,175,107,42,114,94,26,0,67,110,151,44,123,94,291,19,56,54,142,59,54,12,92,70,66,62,41,17,26
CYVR,13,32,72,33,28,122,65,25,76,45,16,64,0,73,81,23,84,52,135,11,30,36,83,27,27,5,54,42,34,39,23,9,14
LIME,37,109,293,102,109,196,201,88,178,113,51,113,59,0,138,59,148,148,200,41,122,90,169,98,93,15,104,154,174,129,82,23,68
MMMX,30,71,168,77,66,216,130,59,149,125,34,171,86,153,0,60,166,111,284,26,68,65,177,66,69,15,159,103,67,71,49,19,29
FACT,10,32,69,27,24,91,57,25,79,61,13,43,24,61,60,0,69,48,63,10,23,34,69,29,26,5,62,33,30,35,24,8,15
ZSPD,38,97,181,98,66,541,168,59,267,127,45,124,75,168,214,73,0,123,212,27,84,111,406,84,75,18,128,120,90,86,70,23,40
LEMD,24,79,200,74,57,153,145,66,129,82,35,97,36,171,115,38,106,0,147,28,91,57,112,71,96,13,99,93,83,92,45,15,36
KJFK,43,94,284,89,69,258,173,73,227,132,59,353,123,169,244,90,205,124,0,36,104,96,213,108,98,18,157,131,123,111,92,25,52
EHEH,6,17,54,17,17,44,30,23,32,18,10,17,12,42,23,11,28,28,33,0,32,14,29,20,14,2,18,33,24,28,16,4,9
EBBR,21,46,145,54,51,120,82,88,88,49,27,55,34,121,72,31,72,70,101,38,0,35,74,54,42,8,45,80,66,75,44,12,26
OMDB,15,50,103,43,32,136,91,33,135,56,19,53,38,86,71,36,107,55,85,15,41,0,105,36,40,8,60,63,48,39,33,11,22
ZBAA,34,96,208,86,64,424,186,66,256,124,34,119,81,178,165,70,369,119,195,26,79,99,0,86,60,15,102,118,93,82,67,21,39
EIDW,17,39,158,47,40,104,94,48,90,61,34,54,30,94,72,33,77,75,100,20,65,39,73,0,40,9,53,68,61,50,38,16,24
LPPT,13,37,114,43,34,106,79,38,85,45,19,48,31,83,69,29,67,97,95,16,43,37,70,49,0,6,54,61,54,44,31,9,22
EFRO,4,8,20,10,8,25,16,7,17,10,4,11,7,15,13,5,16,13,16,3,6,7,17,8,7,0,11,12,11,8,10,2,4
SBGL,20,58,141,55,41,159,108,41,130,148,26,85,58,119,147,61,119,91,161,19,58,64,118,48,54,12,0,70,62,63,38,15,28
EDDT,30,74,203,75,94,166,141,64,127,59,29,83,43,139,98,38,118,111,144,33,82,63,113,61,58,13,75,0,94,84,64,18,42
EDDM,22,63,161,59,75,113,113,47,96,49,27,56,43,169,78,30,83,78,101,21,60,48,91,52,48,10,68,119,0,95,40,12,38
EDDF,20,46,158,57,52,118,104,61,93,56,26,64,33,127,73,25,77,82,131,27,70,45,81,52,46,9,55,96,87,0,42,15,38
EFHK,30,35,89,53,33,95,75,31,76,41,19,44,26,59,53,23,59,59,81,12,40,34,68,37,29,9,39,52,41,43,0,7,16
BIKF,4,10,30,12,7,35,27,9,22,15,7,21,9,24,21,7,23,18,29,3,12,9,25,12,11,2,19,16,15,13,9,0,4
LDZA,8,27,74,26,26,56,55,23,44,28,11,30,17,66,37,14,36,36,49,9,22,20,38,21,22,4,28,46,47,35,21,5,0
