,LIME,SAEZ,LFPG,CYVR,CYYZ,LEMD,LTFM,MMMX,KJFK,EDDT,EDDF,RJAA,OMDB,EDDM,SBGL,ZBAA,ZSPD,VIDP,ESSA,EHEH,BIKF,EETN,LKPR,LPPT,EBBR,EFHK,EGPH,FACT,LFQQ,LGAV,LDZA,EFRO,EIDW
LIME,0.0,11262.454460082292,654.1798188036887,8524.300246721084,6671.136708671728,1220.367427968824,1608.6007846928012,9842.13188680207,6477.675550240074,809.2271754296073,492.550415734113,9698.334104120337,4634.411696551434,337.8149533285702,9300.145436141222,8032.26904485344,9081.345720298381,6082.706185320692,1647.7243899240607,716.9528370522909,2826.491908642492,1829.3731684707757,598.695349516173,1724.0154738241492,697.6241308496129,1912.2938553387621,1461.4919162938756,8900.787773541293,731.8948304163779,1457.2765076695869,494.3715279576347,2510.9812975034515,1433.663567238871
SAEZ,11262.454460082292,0.0,11100.067083107158,11306.011894863244,8985.871186138354,10084.891062660701,12266.824206187948,7396.77973611544,8534.711892841717,11933.024922521272,11502.137750607373,18297.19994521465,13675.498953376862,11571.029543749757,1995.428353470573,19289.70928642004,19605.48726466171,15794.490572393017,12598.548940741373,11430.931607617464,11460.844970957083,12932.640473630083,11830.92337423204,9632.30052917482,11343.810900959297,12981.387744901565,11358.623493704585,6886.082041979985,11246.712767060582,11725.05562218717,11662.142744355435,13282.900559270385,11025.405820274522
LFPG,654.1798188036887,11100.067083107158,0.0,7924.983796384183,6018.511701618143,1064.514287652328,2213.88650722904,9198.923534624388,5833.386425117882,850.4974971095637,449.00506895345995,9709.31227814645,5238.30373722851,681.5692933331298,9184.123131785209,8189.724353071151,9266.538821703734,6565.92854943909,1539.1555178390888,337.5067385741307,2225.1176543641695,1837.8392888325443,852.6058359792816,1469.9632862919395,251.42649654422516,1895.5582344575273,868.6768639079258,9363.399547331674,177.29972762352907,2108.8935232724316,1079.12295434704,2358.800861619531,784.9693369031335
CYVR,8524.300246721084,11306.011894863244,7924.983796384183,0.0,3346.065262820104,8426.398460222947,9588.351242168645,3944.571933641011,3929.667087827683,7979.429067098594,8062.180754267541,7503.3643827802725,11735.171711494506,8340.059905344417,11212.325649046332,8491.592942617246,9016.027042522252,11138.384837166739,7411.6744673739295,7809.899033180775,5701.731716788582,7595.2331088364135,8252.779547259795,8288.503867714651,7827.183480204533,7505.149627195536,7067.373027293543,16465.20953208748,7804.029472119836,9800.56504320369,8746.620493868128,6878.634761429539,7164.329817709851
CYYZ,6671.136708671728,8985.871186138354,6018.511701618143,3346.065262820104,0.0,6058.631933989723,8171.274964889148,3247.890977992751,587.4088954268707,6477.895440186134,6342.662219553331,10299.375959386833,11080.592571500489,6639.638079367699,8271.186132408277,10560.263711728265,11414.11558758609,11639.223104050201,6311.706893929508,6069.742465228985,4202.689344520942,6650.662663103135,6682.817209516884,5739.078245285105,6043.2341631455665,6598.71606358994,5342.430556810266,13136.631844292497,5973.892370679363,8127.399159836934,7071.777341214486,6243.416783834656,5259.66456365284
LEMD,1220.367427968824,10084.891062660701,1064.514287652328,8426.398460222947,6058.631933989723,0.0,2702.2488319417575,9066.890918984103,5762.025471470951,1853.640992836451,1422.050572145159,10771.365389773611,5648.573067280119,1496.9693797182808,8146.258928316377,9206.378510653298,10270.038168674499,7255.328214906565,2601.3493707511634,1400.4404453661639,2888.0069315874402,2883.3149200833927,1750.6615229202562,512.8845584370001,1315.552739483112,2947.4320721225527,1721.1421621023853,8584.107113717999,1235.5813496072453,2377.4313326404604,1692.5382745319923,3422.0000222935455,1454.225118962622
LTFM,1608.6007846928012,12266.824206187948,2213.88650722904,9588.351242168645,8171.274964889148,2702.2488319417575,0.0,11389.29648462006,8027.011333646928,1712.5684114372132,1837.858012568955,8980.31098908937,3027.9011773987722,1547.9829132915345,10271.767959942494,7061.75886204329,8021.792958328303,4566.047060442222,2177.481833179683,2107.001771303601,4087.246738830808,2037.0282863908224,1489.3589955451396,3211.7174335800105,2141.818322400416,2134.8799157182702,2830.767342771072,8429.362191332484,2221.5840343980844,552.3631359390542,1135.558870168953,2818.8505107888336,2924.4683551417634
MMMX,9842.13188680207,7396.77973611544,9198.923534624388,3944.571933641011,3247.890977992751,9066.890918984103,11389.29648462006,0.0,3365.6070797424704,9713.650891230824,9551.980932636412,11253.545374395047,14328.390980757462,9844.86446381779,7665.076602134776,12435.185662210233,12896.888950685934,14662.708439597296,9555.32776316363,9282.302300217629,7447.576134836068,9887.012309094367,9907.578033808217,8664.536583495246,9248.791253224706,9830.89999106367,8573.011598267407,13711.343976959879,9172.519686277623,11295.07456624003,10270.57949825156,9429.19591909452,8465.097546487645
KJFK,6477.675550240074,8534.711892841717,5833.386425117882,3929.667087827683,587.4088954268707,5762.025471470951,8027.011333646928,3365.6070797424704,0.0,6367.419669376641,6189.1542734461045,10829.468019943439,11000.82939708662,6480.773715334404,7729.093708099038,10977.61138682235,11872.965768605623,11754.94829850792,6291.593874633475,5920.872953839785,4197.785190963327,6649.356410602336,6550.828678253268,5404.309620041176,5885.3697807968165,6606.914800539541,5224.818687727301,12560.803274067739,5807.873795019511,7932.455806289573,6905.329783235579,6318.434484589655,5102.730002183939
EDDT,809.2271754296073,11933.024922521272,850.4974971095637,7979.429067098594,6477.895440186134,1853.640992836451,1712.5684114372132,9713.650891230824,6367.419669376641,0.0,431.6826244968808,8941.163890156917,4634.536188630778,479.5750967765883,9999.899573136834,7357.370941408385,8428.152127029933,5785.915771305621,838.7723740907484,554.9586303035887,2379.1423258300797,1043.7146044590377,281.576913555292,2302.6857424820937,633.1798423077714,1118.8430222369009,1142.604257606154,9635.66209352229,737.3544487142678,1823.2230335509435,784.5721209488278,1701.8548750228817,1308.440821698761
EDDF,492.550415734113,11502.137750607373,449.00506895345995,8062.180754267541,6342.662219553331,1422.050572145159,1837.858012568955,9551.980932636412,6189.1542734461045,431.6826244968808,0.0,9366.014476753255,4842.872064752151,299.0736493547062,9568.283601551813,7788.395209245619,8857.834873324387,6121.185112535329,1222.987175365273,274.34672759363383,2379.55963806095,1467.8755620952131,406.27801971921986,1873.84706028188,304.70667836915743,1537.9389925099097,1032.8584656977316,9393.055953949077,392.7983156454291,1815.8370182307754,734.44155732098,2079.668281738598,1086.8940196113897
RJAA,9698.334104120337,18297.19994521465,9709.31227814645,7503.3643827802725,10299.375959386833,10771.365389773611,8980.31098908937,11253.545374395047,10829.468019943439,8941.163890156917,9366.014476753255,0.0,7978.6421393820765,9366.60393351221,18531.195791108297,2133.3180240322217,1795.1653470701212,5909.250123279566,8170.395509786672,9372.118080501896,8798.321608971684,7898.436176812024,9102.009097801203,11153.913596141403,9457.890709909856,7828.74735963798,9254.53199963534,14780.473523154042,9543.069153437295,9532.669034889863,9373.225157229546,7370.85294938375,9590.00408587783
OMDB,4634.411696551434,13675.498953376862,5238.30373722851,11735.171711494506,11080.592571500489,5648.573067280119,3027.9011773987722,14328.390980757462,11000.82939708662,4634.536188630778,4842.872064752151,7978.6421393820765,0.0,4563.68638327735,11884.360300095565,5846.428408163956,6448.573340149029,2183.190603769457,4784.718435844448,5102.345397401615,6885.950773003389,4471.733222742804,4463.278821580964,6137.549256169119,5147.156165772344,4537.025110362885,5776.784700011543,7644.498781549268,5233.556863398388,3271.3092464029237,4162.586440529364,5027.306459147683,5918.191105076748
EDDM,337.8149533285702,11571.029543749757,681.5692933331298,8340.059905344417,6639.638079367699,1496.9693797182808,1547.9829132915345,9844.86446381779,6480.773715334404,479.5750967765883,299.0736493547062,9366.60393351221,4563.68638327735,0.0,9616.447470619587,7721.985707506109,8778.291229474024,5899.979912189503,1317.3110466843007,573.3926461914037,2669.2628149565803,1491.5970050572942,264.80111614065527,1983.6079398270863,596.828250612871,1574.5399279099283,1330.3366233869128,9179.18835595483,673.6101624423094,1517.8783303811158,435.372805823521,2179.5591456309016,1381.2860601870107
SBGL,9300.145436141222,1995.428353470573,9184.123131785209,11212.325649046332,8271.186132408277,8146.258928316377,10271.767959942494,7665.076602134776,7729.093708099038,9999.899573136834,9568.283601551813,18531.195791108297,11884.360300095565,9616.447470619587,0.0,17318.624718116444,18271.284864397905,14063.511167522962,10709.342326685113,9519.607478719365,9842.304164811861,11021.75343361116,9879.080082772547,7714.979604082941,9432.38980302497,11078.85214073269,9529.814395113926,6087.871598998781,9339.141101101264,9730.98460712888,9684.845164511811,11451.376242794004,9192.749867185408
ZBAA,8032.26904485344,19289.70928642004,8189.724353071151,8491.592942617246,10560.263711728265,9206.378510653298,7061.75886204329,12435.185662210233,10977.61138682235,7357.370941408385,7788.395209245619,2133.3180240322217,5846.428408163956,7721.985707506109,17318.624718116444,0.0,1098.8391881220052,3811.22316900493,6691.864080722933,7858.784279958065,7870.884193010363,6357.094712899396,7461.550939385754,9657.682879314776,7945.907748157385,6308.537771925007,7936.25672217657,12967.734897763023,8042.99692176469,7607.430542904929,7637.516242212898,6013.908578937793,8268.747197889683
ZSPD,9081.345720298381,19605.48726466171,9266.538821703734,9016.027042522252,11414.11558758609,10270.038168674499,8021.792958328303,12896.888950685934,11872.965768605623,8428.152127029933,8857.834873324387,1795.1653470701212,6448.573340149029,8778.291229474024,18271.284864397905,1098.8391881220052,0.0,4292.294164011961,7780.26414951412,8938.065932826861,8956.580903846041,7439.701976930367,8520.514010353765,10730.78496714352,9024.973770238224,7393.997300475772,9032.685343726816,12989.53522682959,9123.256093925884,8557.446927892031,8670.244773563427,7111.796723483437,9364.445984146492
VIDP,6082.706185320692,15794.490572393017,6565.92854943909,11138.384837166739,11639.223104050201,7255.328214906565,4566.047060442222,14662.708439597296,11754.94829850792,5785.915771305621,6121.185112535329,5909.250123279566,2183.190603769457,5899.979912189503,14063.511167522962,3811.22316900493,4292.294164011961,0.0,5583.875141564338,6331.400341379829,7593.777972803409,5200.6264450305825,5714.970423703678,7767.803301105655,6399.817544030502,5223.847444426262,6836.246415386642,9282.845350520629,6501.080434257892,4983.851376266188,5589.209484397878,5439.118104243794,7074.36258815461
ESSA,1647.7243899240607,12598.548940741373,1539.1555178390888,7411.6744673739295,6311.706893929508,2601.3493707511634,2177.481833179683,9555.32776316363,6291.593874633475,838.7723740907484,1222.987175365273,8170.395509786672,4784.718435844448,1317.3110466843007,10709.342326685113,6691.864080722933,7780.26414951412,5583.875141564338,0.0,1201.790094986564,2109.0743457943413,389.62412735087645,1086.9490092945773,2998.3052371348076,1287.8123921554281,398.5689357775947,1320.2510546542144,10410.637422820557,1375.4704625714714,2452.3533525122343,1551.7236859844388,863.3297003586031,1624.7526881721867
EHEH,716.9528370522909,11430.931607617464,337.5067385741307,7809.899033180775,6069.742465228985,1400.4404453661639,2107.001771303601,9282.302300217629,5920.872953839785,554.9586303035887,274.34672759363383,9372.118080501896,5102.345397401615,573.3926461914037,9519.607478719365,7858.784279958065,8938.065932826861,6331.400341379829,1201.790094986564,0.0,2117.6234281227908,1503.538739642221,642.0340692834425,1804.6765643174188,87.26507901126318,1559.3618854820566,761.9890447440483,9586.034315842975,187.09147772320674,2089.016063229445,1008.7302268245519,2026.9394149057935,818.4419646564614
BIKF,2826.491908642492,11460.844970957083,2225.1176543641695,5701.731716788582,4202.689344520942,2888.0069315874402,4087.246738830808,7447.576134836068,4197.785190963327,2379.1423258300797,2379.55963806095,8798.321608971684,6885.950773003389,2669.2628149565803,9842.304164811861,7870.884193010363,8956.580903846041,7593.777972803409,2109.0743457943413,2117.6234281227908,0.0,2454.7484880957145,2628.101221542469,2942.307926147029,2128.9170434945413,2409.583253800543,1366.1622281126076,11472.045420118653,2102.4846976713584,4176.891888856657,3094.6660800724226,2177.0499490729367,1486.395041095137
EETN,1829.3731684707757,12932.640473630083,1837.8392888325443,7595.2331088364135,6650.662663103135,2883.3149200833927,2037.0282863908224,9887.012309094367,6649.356410602336,1043.7146044590377,1467.8755620952131,7898.436176812024,4471.733222742804,1491.5970050572942,11021.75343361116,6357.094712899396,7439.701976930367,5200.6264450305825,389.62412735087645,1503.538739642221,2454.7484880957145,0.0,1234.036333291913,3307.6755735702613,1590.7996147657782,100.72063567001045,1705.517234342453,10399.864784061421,1686.475455041425,2389.0689513250063,1628.0765988832688,795.9448462888196,2002.9192181397093
