,LTFM,MMMX,SBGL,EDDF,ZBAA,EDDM,LFQQ,VIDP,FACT,ZSPD,ESSA,OMDB,LDZA,EFHK,CYYZ,LPPT,BIKF,KJFK,RJAA,LEMD,EGPH,CYVR,EHEH,LKPR,EBBR,LIME,EIDW,SAEZ,EETN,EFRO,EDDT,LGAV,LFPG
LTFM,0,127,117,103,198,103,73,203,57,178,89,83,58,72,119,82,20,192,243,158,44,65,30,88,83,210,76,116,37,17,139,133,265
MMMX,155,0,138,68,172,86,59,159,60,175,72,72,27,49,152,61,22,235,253,111,33,88,29,59,59,146,78,108,30,14,97,68,167
SBGL,127,173,0,66,121,57,40,132,58,124,52,65,29,47,89,58,16,156,166,77,25,55,20,40,61,125,55,153,25,11,77,57,110
EDDF,95,77,59,0,95,88,56,97,30,79,55,42,30,38,63,43,11,107,114,87,24,34,29,54,74,140,58,56,22,9,96,51,168
ZBAA,174,178,104,82,0,83,64,261,59,352,82,106,41,70,110,72,21,229,462,125,35,89,23,64,79,131,76,93,34,16,112,85,156
EDDM,102,83,63,85,94,0,49,119,31,94,59,42,41,42,67,44,12,118,122,85,28,32,27,62,75,142,53,50,27,10,102,49,145
LFQQ,61,59,40,50,63,54,0,66,20,65,36,29,20,29,41,34,9,79,90,63,19,25,24,39,71,77,44,43,14,6,59,36,134
VIDP,214,164,124,87,243,88,71,0,84,254,92,143,48,71,117,82,22,223,357,161,38,76,31,69,85,193,93,126,42,17,122,103,226
FACT,67,60,54,29,55,35,23,88,0,72,33,36,14,24,40,29,8,80,107,45,14,27,11,23,27,55,27,55,10,5,42,32,67
ZSPD,175,192,155,74,371,88,61,299,78,0,88,120,44,77,129,83,21,270,489,134,38,87,24,69,89,150,82,116,39,20,134,94,232
ESSA,94,77,48,58,81,57,40,102,30,82,0,47,25,59,53,39,11,89,125,64,22,32,15,45,47,87,51,56,27,11,85,39,106
OMDB,96,67,60,44,92,52,34,137,37,112,43,0,22,36,59,31,11,107,147,59,19,33,12,32,42,72,44,60,16,8,52,48,93
LDZA,51,38,26,30,36,40,21,46,16,49,28,22,0,21,28,23,5,51,58,41,9,15,9,23,24,67,24,27,9,4,43,28,65
EFHK,79,61,49,46,63,48,29,66,24,68,60,36,19,0,42,29,9,84,89,50,20,26,12,32,34,68,38,38,30,10,56,34,94
CYYZ,120,163,100,52,99,62,44,131,43,137,59,47,30,43,0,56,18,312,184,93,27,72,20,40,51,118,51,79,20,10,73,64,137
LPPT,80,64,54,47,71,46,33,85,29,66,38,36,25,27,59,0,10,98,111,106,22,30,15,34,38,76,43,52,15,6,57,38,103
BIKF,23,21,15,15,28,11,9,23,7,22,13,8,5,9,17,11,0,28,27,18,6,9,4,9,12,23,13,15,4,2,17,11,31
KJFK,218,259,177,112,231,99,71,206,83,232,105,103,50,78,331,93,29,0,333,138,48,103,36,76,107,199,84,150,34,21,131,98,226
RJAA,218,322,184,133,402,124,74,360,104,417,100,129,63,93,176,99,35,298,0,136,61,116,41,86,119,216,93,158,45,25,172,98,238
LEMD,136,108,82,79,111,77,61,131,48,120,60,70,43,50,89,95,14,162,163,0,34,48,26,63,79,155,86,86,21,12,80,71,228
EGPH,36,33,25,25,37,23,20,41,15,41,22,15,11,18,28,19,7,47,47,27,0,14,10,21,31,44,38,24,10,3,32,20,62
CYVR,60,90,58,33,76,32,28,75,26,81,31,29,14,26,68,31,10,123,116,47,15,0,10,27,33,59,30,53,10,6,42,34,85
EHEH,29,23,19,25,27,21,21,31,10,25,18,14,9,12,19,16,4,38,38,26,9,12,0,16,37,44,20,18,7,3,32,15,64
LKPR,79,57,48,64,63,77,38,75,25,63,50,33,23,32,36,31,9,90,86,60,18,26,16,0,49,98,38,37,17,7,86,40,108
EBBR,96,72,54,82,90,68,74,95,28,79,54,41,31,33,58,47,12,94,117,83,26,30,31,42,0,127,63,52,19,9,92,46,176
LIME,198,145,105,134,163,165,91,166,63,166,104,77,64,70,100,91,20,198,238,132,45,65,46,108,124,0,100,96,34,18,129,94,313
EIDW,84,69,59,53,87,55,46,77,29,82,61,34,23,36,47,43,13,92,110,73,40,34,21,41,57,100,0,50,19,8,74,43,146
SAEZ,105,134,148,59,111,52,35,111,55,121,48,57,25,37,91,51,15,160,155,72,27,43,18,43,48,106,49,0,18,10,70,48,104
EETN,36,29,23,18,37,22,14,38,10,31,28,19,10,36,23,15,5,41,44,24,8,13,7,18,18,38,18,19,0,4,28,18,40
EFRO,16,13,11,10,18,10,7,17,5,16,10,8,4,9,9,6,2,20,25,11,4,7,2,8,9,15,10,10,4,0,14,7,20
EDDT,143,108,71,99,121,103,80,115,31,115,87,60,39,63,68,60,18,126,157,102,35,46,29,91,83,133,65,80,30,13,0,65,187
LGAV,148,70,62,45,84,60,35,84,32,87,47,49,28,40,53,43,10,100,115,82,19,36,16,40,46,109,44,60,20,8,53,0,123
LFPG,214,175,113,159,187,153,160,220,64,187,105,104,63,99,158,122,32,238,280,196,65,78,59,117,185,351,129,133,43,18,204,123,0
