,VIDP,EDDM,SAEZ,LGAV,EHEH,ZBAA,CYYZ,CYVR,EDDF,EIDW,LFQQ,LEMD,EGPH,LKPR,OMDB,RJAA,EFRO,FACT,EFHK,LIMC,KJFK,ESSA,EDDT,LPPT,MMMX,BIKF,EBBR,ZSPD,LFPG,SBGL,LDZA,LTFM,EETN
VIDP,0,116,111,101,32,236,124,83,110,84,58,131,46,83,142,378,18,82,78,175,235,99,131,80,152,28,76,287,213,144,41,208,39
EDDM,94,0,60,60,25,83,66,33,94,64,55,81,30,71,50,116,10,37,46,169,103,66,108,47,72,16,63,83,169,56,39,97,20
SAEZ,134,57,0,56,17,122,88,54,52,47,43,88,24,41,55,193,9,56,37,110,164,51,65,51,127,16,45,109,112,148,27,101,20
LGAV,91,63,51,0,17,84,55,33,53,40,34,67,18,38,49,112,9,28,43,94,87,43,69,39,77,11,46,81,109,63,31,124,16
EHEH,29,30,20,17,0,26,17,10,32,22,26,29,10,16,15,39,3,9,13,40,36,17,28,14,27,3,34,26,61,18,9,34,6
ZBAA,281,108,99,92,29,0,109,85,75,76,59,121,36,64,102,389,17,86,71,162,208,72,104,68,168,22,71,376,219,130,43,184,33
CYYZ,128,63,91,55,20,110,0,66,49,56,44,85,28,41,65,199,10,47,44,106,285,56,81,51,168,16,55,112,130,89,30,109,20
CYVR,85,31,52,33,11,79,62,0,38,33,24,52,15,24,32,119,6,23,26,56,115,30,46,26,87,10,30,75,76,51,14,66,12
EDDF,88,93,63,57,28,94,58,36,0,56,58,76,30,64,40,118,9,32,43,148,88,52,103,55,72,11,80,96,153,60,30,82,21
EIDW,82,58,51,40,20,76,54,30,57,0,52,72,31,44,39,117,8,31,34,91,107,41,71,41,77,14,55,82,141,55,24,85,18
LFQQ,74,53,40,35,21,54,36,20,51,49,0,63,20,36,30,88,6,21,29,81,81,36,62,36,49,8,70,67,159,42,23,64,15
LEMD,109,91,88,70,32,116,89,55,79,70,58,0,32,59,57,154,11,48,47,157,158,63,100,83,102,17,74,116,200,111,40,137,21
EGPH,42,26,22,21,10,36,25,15,24,39,20,35,0,16,20,52,4,14,18,47,53,28,32,21,30,6,24,38,61,29,11,47,9
LKPR,74,72,40,45,17,67,41,24,60,38,27,53,18,0,34,92,7,23,30,98,78,34,86,32,54,8,43,74,101,37,26,88,17
OMDB,132,53,55,51,15,96,54,34,41,43,31,68,15,35,0,125,9,41,37,82,107,41,47,39,76,10,35,107,95,67,22,103,16
RJAA,395,137,165,105,35,428,195,126,126,114,82,150,56,92,108,0,25,113,87,216,372,134,151,100,249,32,101,461,270,172,59,250,44
EFRO,19,9,9,8,3,16,10,6,10,8,7,11,3,7,7,25,0,4,9,16,19,9,14,7,13,2,9,17,20,11,4,17,4
FACT,69,33,54,29,10,76,37,25,26,28,19,45,15,24,34,99,4,0,20,61,69,28,44,28,68,8,27,72,72,60,15,58,10
EFHK,67,45,40,34,12,62,47,27,43,44,30,50,16,34,33,95,9,23,0,76,92,58,63,30,53,9,35,82,95,45,17,70,35
LIMC,155,167,89,106,44,144,121,66,142,99,98,165,45,89,75,228,15,61,69,0,183,89,155,89,142,22,111,156,289,106,70,199,34
KJFK,181,113,166,97,27,191,272,133,105,109,77,148,48,85,109,311,21,88,84,181,0,92,128,96,329,32,105,236,236,183,52,170,37
ESSA,101,60,48,46,19,76,57,29,55,45,37,65,24,44,45,110,11,27,61,98,111,0,80,38,74,14,45,82,111,56,24,86,32
EDDT,127,110,67,63,33,124,76,45,108,69,64,95,33,84,51,137,13,41,65,168,131,74,0,58,93,19,77,123,183,68,38,152,25
LPPT,77,56,49,37,14,65,56,25,38,44,34,98,22,34,33,104,6,29,36,74,93,38,58,0,58,9,44,72,118,53,22,81,13
MMMX,189,77,132,64,25,169,152,97,72,80,53,115,37,53,81,256,13,60,63,133,251,67,91,70,0,24,75,168,192,133,32,116,27
BIKF,24,13,13,11,4,26,19,10,14,13,9,18,6,9,11,32,2,9,10,23,32,13,18,11,26,0,10,23,30,14,7,24,4
EBBR,81,66,51,44,34,84,56,32,70,58,76,81,27,46,37,109,9,26,38,116,94,47,65,45,64,12,0,68,158,48,23,90,19
ZSPD,259,98,121,83,27,364,124,79,91,79,66,101,39,61,95,398,15,68,71,181,223,92,124,74,195,26,78,0,225,135,39,173,32
LFPG,250,144,128,112,64,200,140,69,151,144,160,193,77,107,95,243,20,77,90,288,243,123,183,113,155,34,180,199,0,131,59,251,38
SBGL,121,68,130,60,18,126,88,53,54,53,46,80,26,46,53,153,11,57,41,121,155,50,76,55,137,16,53,135,144,0,25,114,20
LDZA,48,34,23,25,10,47,27,15,33,24,20,40,10,27,21,46,4,12,21,72,49,28,37,23,30,5,26,44,67,28,0,49,9
LTFM,202,106,112,121,30,174,109,59,94,81,78,150,39,83,94,244,16,61,67,165,215,90,147,76,131,23,92,178,221,121,47,0,32
EETN,41,20,18,19,7,35,23,12,21,19,13,26,8,16,14,51,4,12,28,38,40,24,31,14,24,5,18,36,48,21,8,38,0
