,LIMC,OMDB,SAEZ,LEMD,LFPG,VIDP,LTFM,CYYZ,MMMX,EDDT,EDDM,ZSPD,KJFK,EDDF,CYVR,RJAA,SBGL,ZBAA,LPPT,ESSA,EBBR,EHEH,LGAV,EIDW,EETN,LKPR,EFHK,LDZA,LFQQ,FACT,EFRO,EGPH,BIKF
LIMC,0.0,4708.190352626581,11200.030488781033,1148.5660668194528,597.647227692862,6159.502244229665,1683.3050965704033,6609.43313822485,9775.445770070051,839.4229173232067,382.4534017470018,9145.462921839513,6411.630216485815,490.1396104415254,8490.289487372997,9749.009266937597,9240.443773621446,8094.086522767396,1650.4062874119006,1675.0268443034151,664.3952506566018,692.3835754883867,1521.438716868451,1381.192654254011,1870.2436430922335,647.0153232599317,1951.0929540754787,571.2976495991094,689.0474073989398,8906.660841148243,2538.132936085888,1423.7549912527588,2789.8815830930635
OMDB,4708.190352626581,0.0,13675.498953376862,5648.573067280119,5238.30373722851,2183.190603769457,3027.9011773987722,11080.592571500489,14328.390980757462,4634.536188630778,4563.68638327735,6448.573340149029,11000.82939708662,4842.872064752151,11735.171711494506,7978.6421393820765,11884.360300095565,5846.428408163956,6137.549256169119,4784.718435844448,5147.156165772344,5102.345397401615,3271.3092464029237,5918.191105076748,4471.733222742804,4463.278821580964,4537.025110362885,4162.586440529364,5233.556863398388,7644.498781549268,5027.306459147683,5776.784700011543,6885.950773003389
SAEZ,11200.030488781033,13675.498953376862,0.0,10084.891062660701,11100.067083107158,15794.490572393017,12266.824206187948,8985.871186138354,7396.77973611544,11933.024922521272,11571.029543749757,19605.48726466171,8534.711892841717,11502.137750607373,11306.011894863244,18297.19994521465,1995.428353470573,19289.70928642004,9632.30052917482,12598.548940741373,11343.810900959297,11430.931607617464,11725.05562218717,11025.405820274522,12932.640473630083,11830.92337423204,12981.387744901565,11662.142744355435,11246.712767060582,6886.082041979985,13282.900559270385,11358.623493704585,11460.844970957083
LEMD,1148.5660668194528,5648.573067280119,10084.891062660701,0.0,1064.514287652328,7255.328214906565,2702.2488319417575,6058.631933989723,9066.890918984103,1853.640992836451,1496.9693797182808,10270.038168674499,5762.025471470951,1422.050572145159,8426.398460222947,10771.365389773611,8146.258928316377,9206.378510653298,512.8845584370001,2601.3493707511634,1315.552739483112,1400.4404453661639,2377.4313326404604,1454.225118962622,2883.3149200833927,1750.6615229202562,2947.4320721225527,1692.5382745319923,1235.5813496072453,8584.107113717999,3422.0000222935455,1721.1421621023853,2888.0069315874402
LFPG,597.647227692862,5238.30373722851,11100.067083107158,1064.514287652328,0.0,6565.92854943909,2213.88650722904,6018.511701618143,9198.923534624388,850.4974971095637,681.5692933331298,9266.538821703734,5833.386425117882,449.00506895345995,7924.983796384183,9709.31227814645,9184.123131785209,8189.724353071151,1469.9632862919395,1539.1555178390888,251.42649654422516,337.5067385741307,2108.8935232724316,784.9693369031335,1837.8392888325443,852.6058359792816,1895.5582344575273,1079.12295434704,177.29972762352907,9363.399547331674,2358.800861619531,868.6768639079258,2225.1176543641695
VIDP,6159.502244229665,2183.190603769457,15794.490572393017,7255.328214906565,6565.92854943909,0.0,4566.047060442222,11639.223104050201,14662.708439597296,5785.915771305621,5899.979912189503,4292.294164011961,11754.94829850792,6121.185112535329,11138.384837166739,5909.250123279566,14063.511167522962,3811.22316900493,7767.803301105655,5583.875141564338,6399.817544030502,6331.400341379829,4983.851376266188,7074.36258815461,5200.6264450305825,5714.970423703678,5223.847444426262,5589.209484397878,6501.080434257892,9282.845350520629,5439.118104243794,6836.246415386642,7593.777972803409
LTFM,1683.3050965704033,3027.9011773987722,12266.824206187948,2702.2488319417575,2213.88650722904,4566.047060442222,0.0,8171.274964889148,11389.29648462006,1712.5684114372132,1547.9829132915345,8021.792958328303,8027.011333646928,1837.858012568955,9588.351242168645,8980.31098908937,10271.767959942494,7061.75886204329,3211.7174335800105,2177.481833179683,2141.818322400416,2107.001771303601,552.3631359390542,2924.4683551417634,2037.0282863908224,1489.3589955451396,2134.8799157182702,1135.558870168953,2221.5840343980844,8429.362191332484,2818.8505107888336,2830.767342771072,4087.246738830808
CYYZ,6609.43313822485,11080.592571500489,8985.871186138354,6058.631933989723,6018.511701618143,11639.223104050201,8171.274964889148,0.0,3247.890977992751,6477.895440186134,6639.638079367699,11414.11558758609,587.4088954268707,6342.662219553331,3346.065262820104,10299.375959386833,8271.186132408277,10560.263711728265,5739.078245285105,6311.706893929508,6043.2341631455665,6069.742465228985,8127.399159836934,5259.66456365284,6650.662663103135,6682.817209516884,6598.71606358994,7071.777341214486,5973.892370679363,13136.631844292497,6243.416783834656,5342.430556810266,4202.689344520942
MMMX,9775.445770070051,14328.390980757462,7396.77973611544,9066.890918984103,9198.923534624388,14662.708439597296,11389.29648462006,3247.890977992751,0.0,9713.650891230824,9844.86446381779,12896.888950685934,3365.6070797424704,9551.980932636412,3944.571933641011,11253.545374395047,7665.076602134776,12435.185662210233,8664.536583495246,9555.32776316363,9248.791253224706,9282.302300217629,11295.07456624003,8465.097546487645,9887.012309094367,9907.578033808217,9830.89999106367,10270.57949825156,9172.519686277623,13711.343976959879,9429.19591909452,8573.011598267407,7447.576134836068
EDDT,839.4229173232067,4634.536188630778,11933.024922521272,1853.640992836451,850.4974971095637,5785.915771305621,1712.5684114372132,6477.895440186134,9713.650891230824,0.0,479.5750967765883,8428.152127029933,6367.419669376641,431.6826244968808,7979.429067098594,8941.163890156917,9999.899573136834,7357.370941408385,2302.6857424820937,838.7723740907484,633.1798423077714,554.9586303035887,1823.2230335509435,1308.440821698761,1043.7146044590377,281.576913555292,1118.8430222369009,784.5721209488278,737.3544487142678,9635.66209352229,1701.8548750228817,1142.604257606154,2379.1423258300797
