,MMMX,LEMD,LKPR,EHEH,RJAA,LIMC,EDDF,LGAV,ZBAA,LDZA,BIKF,LFQQ,EFHK,ESSA,EDDM,LTFM,VIDP,EBBR,OMDB,LFPG,SBGL,FACT,KJFK,ZSPD,EGPH,LPPT,EDDT,CYYZ,SAEZ,EETN,CYVR,EFRO,EIDW
MMMX,0,111,65,25,255,121,83,65,172,42,22,52,54,76,85,141,172,71,74,182,141,58,269,171,35,79,102,174,135,27,83,12,79
LEMD,97,0,57,26,184,141,68,76,115,35,18,62,50,65,83,135,128,68,59,217,96,46,163,120,34,94,94,74,80,26,46,11,62
LKPR,60,54,0,15,89,101,53,39,73,31,9,31,34,39,71,67,77,49,29,104,42,23,76,67,19,39,70,46,37,16,25,7,38
EHEH,27,32,16,0,39,38,28,16,24,9,4,25,13,18,22,33,31,34,14,55,21,9,36,26,10,14,32,20,16,7,12,3,18
RJAA,262,181,82,43,0,244,119,131,418,58,38,91,84,138,118,236,332,114,126,263,166,94,337,520,57,92,144,185,206,44,125,25,124
LIMC,142,144,99,39,221,0,129,106,149,56,22,85,76,91,124,188,172,116,73,278,106,61,178,150,48,79,162,93,90,35,68,16,101
EDDF,76,80,62,27,123,135,0,55,77,33,12,63,37,54,95,94,94,76,42,147,55,34,112,90,23,43,97,60,46,21,33,8,53
LGAV,67,69,43,16,120,102,52,0,91,32,11,28,34,46,53,143,79,44,46,115,63,34,96,89,19,32,63,55,45,17,25,8,42
ZBAA,175,120,72,31,391,157,89,80,0,34,21,63,69,86,87,187,253,75,107,195,116,62,243,339,37,63,122,145,124,33,69,17,77
LDZA,35,35,28,10,58,67,30,32,40,0,5,21,20,28,39,56,44,23,21,66,27,15,51,45,10,23,39,27,27,10,13,4,22
BIKF,21,19,11,4,34,20,12,10,21,5,0,11,10,14,12,23,24,11,11,29,16,8,33,27,6,10,18,16,15,5,9,2,13
LFQQ,57,60,34,23,89,85,52,34,57,24,11,0,27,45,57,60,67,70,33,151,46,24,79,70,21,32,62,41,39,14,26,5,46
EFHK,65,53,29,14,81,65,43,37,67,21,10,28,0,52,46,82,73,33,33,95,40,25,83,64,18,30,61,45,40,31,26,9,41
ESSA,82,60,38,15,129,97,55,47,85,24,13,40,52,0,58,94,105,53,36,126,62,27,110,78,23,45,75,52,52,31,36,10,48
EDDM,78,82,72,27,149,141,91,61,86,42,14,54,46,55,0,112,93,67,47,148,59,32,110,104,29,53,110,60,58,23,37,10,63
LTFM,146,138,82,37,258,195,119,131,176,49,22,69,75,88,115,0,193,89,96,227,127,69,179,176,44,69,121,101,105,36,61,14,83
VIDP,174,139,70,30,359,174,91,103,267,45,25,66,81,102,99,199,0,79,152,227,135,72,240,262,41,81,115,136,126,37,85,19,99
EBBR,78,73,47,30,119,113,78,47,69,27,13,72,37,53,60,97,89,0,35,177,55,26,94,82,26,42,74,51,53,20,30,8,49
OMDB,63,59,33,16,145,85,45,49,107,22,11,35,32,42,46,99,141,47,0,97,60,33,83,97,20,36,58,53,52,16,32,7,37
LFPG,162,204,110,68,284,277,173,109,193,60,30,172,102,109,166,198,213,208,102,0,134,78,234,193,71,109,199,145,130,46,80,21,135
SBGL,149,101,43,20,175,102,61,60,103,29,14,45,46,60,62,119,139,50,69,135,0,74,182,132,24,59,68,90,165,19,56,12,59
FACT,66,45,23,12,99,61,31,36,64,13,9,24,24,25,37,62,60,28,35,71,58,0,74,79,13,29,37,45,55,11,25,5,25
KJFK,229,162,86,38,337,197,103,107,232,46,34,67,78,111,111,182,209,115,89,227,185,85,0,264,49,98,139,360,157,42,118,20,93
ZSPD,152,126,65,29,462,174,82,97,334,42,18,55,68,86,89,185,262,80,84,204,123,78,230,0,40,74,117,122,103,36,84,17,80
EGPH,38,33,20,10,52,43,24,19,38,12,7,22,18,21,24,40,37,26,17,72,26,13,46,42,0,17,30,26,25,9,15,4,33
LPPT,70,84,29,16,101,86,47,38,72,21,12,35,27,37,51,86,97,40,36,114,55,26,83,73,20,0,54,54,57,15,26,7,48
EDDT,103,98,86,33,183,139,101,66,114,42,18,54,62,71,107,144,107,97,61,219,89,45,149,129,35,48,0,79,69,31,44,11,68
CYYZ,156,85,45,22,160,96,56,48,122,28,17,42,47,55,66,112,114,55,56,117,82,44,271,125,25,55,85,0,71,24,65,10,63
SAEZ,126,79,36,18,175,105,59,48,103,25,16,39,37,48,55,101,123,53,55,133,150,53,157,137,27,47,66,91,0,20,55,8,57
EETN,25,25,16,7,49,38,22,17,38,10,5,12,31,31,20,39,41,18,16,45,18,10,39,35,8,15,27,22,16,0,14,4,17
CYVR,83,46,25,10,110,67,28,34,92,16,11,22,25,32,37,57,71,36,32,66,54,26,109,81,14,33,51,65,53,12,0,7,31
EFRO,12,11,7,2,21,16,9,6,17,3,2,6,10,10,10,18,21,8,7,20,9,6,18,18,3,7,13,10,9,5,6,0,9
EIDW,71,82,33,18,121,103,55,41,67,25,11,44,32,50,58,82,92,56,37,128,67,32,104,77,32,40,64,57,50,17,35,10,0
