,CYYZ,VIDP,LEMD,LKPR,LDZA,EDDF,LIMC,EFHK,EBBR,FACT,ZBAA,EDDM,SBGL,ESSA,EDDT,ZSPD,LFPG,LPPT,EGPH,RJAA,LGAV,EHEH,OMDB,EFRO,MMMX,SAEZ,EIDW,LFQQ,CYVR,LTFM,BIKF,EETN,KJFK
CYYZ,0,128,82,48,27,50,115,44,49,44,117,76,93,44,74,123,146,49,30,180,56,16,55,11,145,97,55,40,55,111,17,24,293
VIDP,121,0,138,80,47,99,179,83,90,78,241,112,150,105,137,289,220,83,44,350,103,28,138,16,161,128,86,60,79,197,21,41,208
LEMD,100,141,0,58,37,75,198,45,79,48,115,79,80,56,90,137,194,89,33,175,81,28,57,13,99,78,87,54,45,130,17,26,161
LKPR,43,75,62,0,29,53,82,32,47,22,65,71,47,43,87,69,94,30,21,86,40,16,30,6,59,37,32,32,23,70,10,14,81
LDZA,30,50,43,32,0,32,61,19,26,13,39,47,29,23,45,43,69,22,11,69,30,9,20,4,38,26,26,19,15,58,6,9,48
EDDF,56,93,76,62,31,0,134,39,82,33,90,87,59,53,94,97,179,46,25,107,52,30,39,10,74,53,60,57,31,107,13,19,118
LIMC,109,195,159,91,64,134,0,72,115,54,164,158,98,95,137,164,296,85,48,212,79,44,86,16,140,98,113,102,48,202,22,36,210
EFHK,42,70,47,31,17,45,61,0,39,22,76,40,54,57,65,82,93,29,18,94,31,14,35,8,57,41,34,31,26,78,9,31,88
EBBR,53,96,80,39,25,76,107,41,0,32,69,73,56,48,84,76,175,40,23,108,44,34,37,8,68,47,59,66,35,101,14,19,90
FACT,42,74,44,25,17,29,55,25,24,0,65,30,69,25,38,73,71,28,15,89,30,11,38,6,60,57,28,24,24,53,7,9,70
ZBAA,122,296,127,71,36,94,167,62,69,57,0,91,126,98,114,388,224,77,36,413,81,32,96,16,163,112,78,55,78,176,22,36,230
EDDM,59,111,84,71,35,95,149,43,68,34,94,0,58,52,113,91,147,46,24,114,58,24,43,10,73,58,61,57,35,95,13,19,111
SBGL,101,153,93,50,29,47,118,43,51,60,100,65,0,59,69,113,148,53,28,189,55,18,59,10,144,158,54,41,53,113,16,21,190
ESSA,59,87,65,40,28,47,98,52,53,29,66,62,47,0,76,82,111,43,25,114,51,20,40,10,70,49,47,40,36,83,12,26,106
EDDT,75,125,93,89,37,98,159,60,81,39,116,98,76,85,0,115,168,57,38,138,58,32,66,14,107,71,73,59,49,127,15,30,124
ZSPD,133,284,127,66,36,93,172,71,79,78,345,101,127,87,128,0,208,72,41,486,87,32,110,13,167,117,88,65,85,187,23,36,229
LFPG,139,248,191,99,71,172,289,86,176,67,204,180,151,130,175,190,0,107,65,261,107,54,103,23,172,121,134,182,74,225,29,49,227
LPPT,58,81,94,32,23,41,73,27,46,33,61,48,51,41,57,76,119,0,19,93,40,16,31,7,71,57,42,37,34,71,11,15,98
EGPH,28,39,36,19,13,27,41,19,27,14,35,26,26,25,40,40,69,18,0,55,24,9,19,4,36,24,35,18,15,33,7,9,49
RJAA,192,312,172,86,59,127,232,96,102,99,420,142,185,113,141,503,271,92,49,0,102,42,135,22,234,171,109,90,136,205,36,48,305
LGAV,54,97,72,34,33,48,96,34,47,31,73,51,58,42,72,89,113,43,19,132,0,15,56,8,74,48,44,39,35,134,11,16,105
EHEH,17,33,28,17,10,26,43,13,33,10,28,24,18,19,31,29,65,17,10,41,17,0,13,3,26,18,22,25,11,30,3,6,38
OMDB,57,147,66,33,19,46,81,37,40,36,82,45,63,45,56,112,90,39,19,120,47,15,0,8,71,60,44,32,35,88,10,18,107
EFRO,11,17,10,7,4,10,17,8,8,5,16,9,9,10,13,16,21,6,4,23,8,3,7,0,14,10,9,7,6,15,2,4,19
MMMX,165,182,97,55,31,74,109,60,76,62,189,77,115,72,96,169,143,54,39,258,60,25,79,13,0,142,70,57,75,136,21,28,266
SAEZ,83,125,80,38,25,47,101,35,42,52,117,65,136,53,66,109,120,49,25,179,52,15,53,10,141,0,49,34,49,111,15,15,159
EIDW,64,88,76,41,24,53,91,34,61,31,74,56,56,47,70,94,163,51,32,117,42,20,36,8,75,57,0,45,34,92,14,18,113
LFQQ,43,61,69,34,21,50,99,34,71,22,67,50,45,35,59,63,146,35,20,81,40,23,31,7,58,38,43,0,25,76,9,14,78
CYVR,58,76,46,27,16,37,70,29,33,25,88,42,52,32,37,84,83,32,18,120,31,10,32,5,86,48,32,25,0,63,10,12,109
LTFM,103,209,144,78,59,111,190,62,91,65,155,125,112,79,154,171,238,85,43,217,127,30,93,18,144,105,82,76,57,0,23,38,197
BIKF,17,24,19,10,5,12,23,11,13,7,22,12,17,13,15,26,30,11,7,28,11,5,9,2,20,14,12,10,10,22,0,4,31
EETN,19,33,28,16,9,22,35,29,16,11,30,24,20,26,27,35,41,15,9,52,18,6,18,4,31,18,16,15,11,32,5,0,37
KJFK,299,213,184,81,45,109,202,64,105,75,219,116,186,87,130,208,240,97,54,296,97,34,92,18,304,181,84,72,113,163,31,40,0
