,LIMC,ZSPD,VIDP,CYVR,SBGL,KJFK,LEMD,RJAA,CYYZ,SAEZ,ZBAA,LTFM,OMDB,EDDT,LFPG,EDDF,MMMX,EDDM,LDZA,EGPH,BIKF,ESSA,LKPR,LFQQ,EBBR,EIDW,LGAV,EFHK,EETN,EHEH,FACT,LPPT,EFRO
LIMC,0.0,9145.462921839513,6159.502244229665,8490.289487372997,9240.443773621446,6411.630216485815,1148.5660668194528,9749.009266937597,6609.43313822485,11200.030488781033,8094.086522767396,1683.3050965704033,4708.190352626581,839.4229173232067,597.647227692862,490.1396104415254,9775.445770070051,382.4534017470018,571.2976495991094,1423.7549912527588,2789.8815830930635,1675.0268443034151,647.0153232599317,689.0474073989398,664.3952506566018,1381.192654254011,1521.438716868451,1951.0929540754787,1870.2436430922335,692.3835754883867,8906.660841148243,1650.4062874119006,2538.132936085888
ZSPD,9145.462921839513,0.0,4292.294164011961,9016.027042522252,18271.284864397905,11872.965768605623,10270.038168674499,1795.1653470701212,11414.11558758609,19605.48726466171,1098.8391881220052,8021.792958328303,6448.573340149029,8428.152127029933,9266.538821703734,8857.834873324387,12896.888950685934,8778.291229474024,8670.244773563427,9032.685343726816,8956.580903846041,7780.26414951412,8520.514010353765,9123.256093925884,9024.973770238224,9364.445984146492,8557.446927892031,7393.997300475772,7439.701976930367,8938.065932826861,12989.53522682959,10730.78496714352,7111.796723483437
VIDP,6159.502244229665,4292.294164011961,0.0,11138.384837166739,14063.511167522962,11754.94829850792,7255.328214906565,5909.250123279566,11639.223104050201,15794.490572393017,3811.22316900493,4566.047060442222,2183.190603769457,5785.915771305621,6565.92854943909,6121.185112535329,14662.708439597296,5899.979912189503,5589.209484397878,6836.246415386642,7593.777972803409,5583.875141564338,5714.970423703678,6501.080434257892,6399.817544030502,7074.36258815461,4983.851376266188,5223.847444426262,5200.6264450305825,6331.400341379829,9282.845350520629,7767.803301105655,5439.118104243794
CYVR,8490.289487372997,9016.027042522252,11138.384837166739,0.0,11212.325649046332,3929.667087827683,8426.398460222947,7503.3643827802725,3346.065262820104,11306.011894863244,8491.592942617246,9588.351242168645,11735.171711494506,7979.429067098594,7924.983796384183,8062.180754267541,3944.571933641011,8340.059905344417,8746.620493868128,7067.373027293543,5701.731716788582,7411.6744673739295,8252.779547259795,7804.029472119836,7827.183480204533,7164.329817709851,9800.56504320369,7505.149627195536,7595.2331088364135,7809.899033180775,16465.20953208748,8288.503867714651,6878.634761429539
SBGL,9240.443773621446,18271.284864397905,14063.511167522962,11212.325649046332,0.0,7729.093708099038,8146.258928316377,18531.195791108297,8271.186132408277,1995.428353470573,17318.624718116444,10271.767959942494,11884.360300095565,9999.899573136834,9184.123131785209,9568.283601551813,7665.076602134776,9616.447470619587,9684.845164511811,9529.814395113926,9842.304164811861,10709.342326685113,9879.080082772547,9339.141101101264,9432.38980302497,9192.749867185408,9730.98460712888,11078.85214073269,11021.75343361116,9519.607478719365,6087.871598998781,7714.979604082941,11451.376242794004
KJFK,6411.630216485815,11872.965768605623,11754.94829850792,3929.667087827683,7729.093708099038,0.0,5762.025471470951,10829.468019943439,587.4088954268707,8534.711892841717,10977.61138682235,8027.011333646928,11000.82939708662,6367.419669376641,5833.386425117882,6189.1542734461045,3365.6070797424704,6480.773715334404,6905.329783235579,5224.818687727301,4197.785190963327,6291.593874633475,6550.828678253268,5807.873795019511,5885.3697807968165,5102.730002183939,7932.455806289573,6606.914800539541,6649.356410602336,5920.872953839785,12560.803274067739,5404.309620041176,6318.434484589655
LEMD,1148.5660668194528,10270.038168674499,7255.328214906565,8426.398460222947,8146.258928316377,5762.025471470951,0.0,10771.365389773611,6058.631933989723,10084.891062660701,9206.378510653298,2702.2488319417575,5648.573067280119,1853.640992836451,1064.514287652328,1422.050572145159,9066.890918984103,1496.9693797182808,1692.5382745319923,1721.1421621023853,2888.0069315874402,2601.3493707511634,1750.6615229202562,1235.5813496072453,1315.552739483112,1454.225118962622,2377.4313326404604,2947.4320721225527,2883.3149200833927,1400.4404453661639,8584.107113717999,512.8845584370001,3422.0000222935455
RJAA,9749.009266937597,1795.1653470701212,5909.250123279566,7503.3643827802725,18531.195791108297,10829.468019943439,10771.365389773611,0.0,10299.375959386833,18297.19994521465,2133.3180240322217,8980.31098908937,7978.6421393820765,8941.163890156917,9709.31227814645,9366.014476753255,11253.545374395047,9366.60393351221,9373.225157229546,9254.53199963534,8798.321608971684,8170.395509786672,9102.009097801203,9543.069153437295,9457.890709909856,9590.00408587783,9532.669034889863,7828.74735963798,7898.436176812024,9372.118080501896,14780.473523154042,11153.913596141403,7370.85294938375
CYYZ,6609.43313822485,11414.11558758609,11639.223104050201,3346.065262820104,8271.186132408277,587.4088954268707,6058.631933989723,10299.375959386833,0.0,8985.871186138354,10560.263711728265,8171.274964889148,11080.592571500489,6477.895440186134,6018.511701618143,6342.662219553331,3247.890977992751,6639.638079367699,7071.777341214486,5342.430556810266,4202.689344520942,6311.706893929508,6682.817209516884,5973.892370679363,6043.2341631455665,5259.66456365284,8127.399159836934,6598.71606358994,6650.662663103135,6069.742465228985,13136.631844292497,5739.078245285105,6243.416783834656
SAEZ,11200.030488781033,19605.48726466171,15794.490572393017,11306.011894863244,1995.428353470573,8534.711892841717,10084.891062660701,18297.19994521465,8985.871186138354,0.0,19289.70928642004,12266.824206187948,13675.498953376862,11933.024922521272,11100.067083107158,11502.137750607373,7396.77973611544,11571.029543749757,11662.142744355435,11358.623493704585,11460.844970957083,12598.548940741373,11830.92337423204,11246.712767060582,11343.810900959297,11025.405820274522,11725.05562218717,12981.387744901565,12932.640473630083,11430.931607617464,6886.082041979985,9632.30052917482,13282.900559270385
