,LIMC,SBGL,EDDF,LEMD,CYYZ,CYVR,EDDT,VIDP,SAEZ,KJFK,LTFM,OMDB,ZBAA,LFPG,ZSPD,EDDM,MMMX,RJAA,EGPH,ESSA,LFQQ,BIKF,LDZA,LGAV,EFRO,LKPR,LPPT,EFHK,EBBR,EHEH,EETN,FACT,EIDW
LIMC,0.0,9240.443773621446,490.1396104415254,1148.5660668194528,6609.43313822485,8490.289487372997,839.4229173232067,6159.502244229665,11200.030488781033,6411.630216485815,1683.3050965704033,4708.190352626581,8094.086522767396,597.647227692862,9145.462921839513,382.4534017470018,9775.445770070051,9749.009266937597,1423.7549912527588,1675.0268443034151,689.0474073989398,2789.8815830930635,571.2976495991094,1521.438716868451,2538.132936085888,647.0153232599317,1650.4062874119006,1951.0929540754787,664.3952506566018,692.3835754883867,1870.2436430922335,8906.660841148243,1381.192654254011
SBGL,9240.443773621446,0.0,9568.283601551813,8146.258928316377,8271.186132408277,11212.325649046332,9999.899573136834,14063.511167522962,1995.428353470573,7729.093708099038,10271.767959942494,11884.360300095565,17318.624718116444,9184.123131785209,18271.284864397905,9616.447470619587,7665.076602134776,18531.195791108297,9529.814395113926,10709.342326685113,9339.141101101264,9842.304164811861,9684.845164511811,9730.98460712888,11451.376242794004,9879.080082772547,7714.979604082941,11078.85214073269,9432.38980302497,9519.607478719365,11021.75343361116,6087.871598998781,9192.749867185408
EDDF,490.1396104415254,9568.283601551813,0.0,1422.050572145159,6342.662219553331,8062.180754267541,431.6826244968808,6121.185112535329,11502.137750607373,6189.1542734461045,1837.858012568955,4842.872064752151,7788.395209245619,449.00506895345995,8857.834873324387,299.0736493547062,9551.980932636412,9366.014476753255,1032.8584656977316,1222.987175365273,392.7983156454291,2379.55963806095,734.44155732098,1815.8370182307754,2079.668281738598,406.27801971921986,1873.84706028188,1537.9389925099097,304.70667836915743,274.34672759363383,1467.8755620952131,9393.055953949077,1086.8940196113897
LEMD,1148.5660668194528,8146.258928316377,1422.050572145159,0.0,6058.631933989723,8426.398460222947,1853.640992836451,7255.328214906565,10084.891062660701,5762.025471470951,2702.2488319417575,5648.573067280119,9206.378510653298,1064.514287652328,10270.038168674499,1496.9693797182808,9066.890918984103,10771.365389773611,1721.1421621023853,2601.3493707511634,1235.5813496072453,2888.0069315874402,1692.5382745319923,2377.4313326404604,3422.0000222935455,1750.6615229202562,512.8845584370001,2947.4320721225527,1315.552739483112,1400.4404453661639,2883.3149200833927,8584.107113717999,1454.225118962622
CYYZ,6609.43313822485,8271.186132408277,6342.662219553331,6058.631933989723,0.0,3346.065262820104,6477.895440186134,11639.223104050201,8985.871186138354,587.4088954268707,8171.274964889148,11080.592571500489,10560.263711728265,6018.511701618143,11414.11558758609,6639.638079367699,3247.890977992751,10299.375959386833,5342.430556810266,6311.706893929508,5973.892370679363,4202.689344520942,7071.777341214486,8127.399159836934,6243.416783834656,6682.817209516884,5739.078245285105,6598.71606358994,6043.2341631455665,6069.742465228985,6650.662663103135,13136.631844292497,5259.66456365284
CYVR,8490.289487372997,11212.325649046332,8062.180754267541,8426.398460222947,3346.065262820104,0.0,7979.429067098594,11138.384837166739,11306.011894863244,3929.667087827683,9588.351242168645,11735.171711494506,8491.592942617246,7924.983796384183,9016.027042522252,8340.059905344417,3944.571933641011,7503.3643827802725,7067.373027293543,7411.6744673739295,7804.029472119836,5701.731716788582,8746.620493868128,9800.56504320369,6878.634761429539,8252.779547259795,8288.503867714651,7505.149627195536,7827.183480204533,7809.899033180775,7595.2331088364135,16465.20953208748,7164.329817709851
EDDT,839.4229173232067,9999.899573136834,431.6826244968808,1853.640992836451,6477.895440186134,7979.429067098594,0.0,5785.915771305621,11933.024922521272,6367.419669376641,1712.5684114372132,4634.536188630778,7357.370941408385,850.4974971095637,8428.152127029933,479.5750967765883,9713.650891230824,8941.163890156917,1142.604257606154,838.7723740907484,737.3544487142678,2379.1423258300797,784.5721209488278,1823.2230335509435,1701.8548750228817,281.576913555292,2302.6857424820937,1118.8430222369009,633.1798423077714,554.9586303035887,1043.7146044590377,9635.66209352229,1308.440821698761
VIDP,6159.502244229665,14063.511167522962,6121.185112535329,7255.328214906565,11639.223104050201,11138.384837166739,5785.915771305621,0.0,15794.490572393017,11754.94829850792,4566.047060442222,2183.190603769457,3811.22316900493,6565.92854943909,4292.294164011961,5899.979912189503,14662.708439597296,5909.250123279566,6836.246415386642,5583.875141564338,6501.080434257892,7593.777972803409,5589.209484397878,4983.851376266188,5439.118104243794,5714.970423703678,7767.803301105655,5223.847444426262,6399.817544030502,6331.400341379829,5200.6264450305825,9282.845350520629,7074.36258815461
SAEZ,11200.030488781033,1995.428353470573,11502.137750607373,10084.891062660701,8985.871186138354,11306.011894863244,11933.024922521272,15794.490572393017,0.0,8534.711892841717,12266.824206187948,13675.498953376862,19289.70928642004,11100.067083107158,19605.48726466171,11571.029543749757,7396.77973611544,18297.19994521465,11358.623493704585,12598.548940741373,11246.712767060582,11460.844970957083,11662.142744355435,11725.05562218717,13282.900559270385,11830.92337423204,9632.30052917482,12981.387744901565,11343.810900959297,11430.931607617464,12932.640473630083,6886.082041979985,11025.405820274522
KJFK,6411.630216485815,7729.093708099038,6189.1542734461045,5762.025471470951,587.4088954268707,3929.667087827683,6367.419669376641,11754.94829850792,8534.711892841717,0.0,8027.011333646928,11000.82939708662,10977.61138682235,5833.386425117882,11872.965768605623,6480.773715334404,3365.6070797424704,10829.468019943439,5224.818687727301,6291.593874633475,5807.873795019511,4197.785190963327,6905.329783235579,7932.455806289573,6318.434484589655,6550.828678253268,5404.309620041176,6606.914800539541,5885.3697807968165,5920.872953839785,6649.356410602336,12560.803274067739,5102.730002183939
