,LIRF,LEMD,VIDP,MMMX,LFPG,ZBAA,ZSPD,EDDF,RJAA,KJFK,SBGL,LTFM,CYVR,EDDM,CYYZ,SAEZ,EDDT,OMDB,EGPH,LDZA,EETN,FACT,LGAV,LPPT,EIDW,EFRO,EFHK,EBBR,ESSA,EHEH,LKPR,LFQQ,BIKF
LIRF,0.0,1329.6414771353595,5933.755490675376,10223.713813904815,1103.018721080239,8150.518949275133,9172.06002239199,961.0099196871063,9907.71324590243,6867.05238818525,9169.145384992777,1373.0851274414642,9002.229875705996,732.5545180372009,7086.091111460242,11152.64657458875,1201.9453532976966,4342.77025770545,1936.9351306841388,537.5358486485911,2144.7432662773303,8447.492147870096,1085.5162109803623,1838.6369514241565,1887.877045473529,2879.518914006426,2236.527853659462,1175.0465897459446,2026.0100284147838,1195.6116672542362,939.0896343890475,1202.6733084178702,3302.877772645817
LEMD,1329.6414771353595,0.0,7255.328214906565,9066.890918984103,1064.514287652328,9206.378510653298,10270.038168674499,1422.050572145159,10771.365389773611,5762.025471470951,8146.258928316377,2702.2488319417575,8426.398460222947,1496.9693797182808,6058.631933989723,10084.891062660701,1853.640992836451,5648.573067280119,1721.1421621023853,1692.5382745319923,2883.3149200833927,8584.107113717999,2377.4313326404604,512.8845584370001,1454.225118962622,3422.0000222935455,2947.4320721225527,1315.552739483112,2601.3493707511634,1400.4404453661639,1750.6615229202562,1235.5813496072453,2888.0069315874402
VIDP,5933.755490675376,7255.328214906565,0.0,14662.708439597296,6565.92854943909,3811.22316900493,4292.294164011961,6121.185112535329,5909.250123279566,11754.94829850792,14063.511167522962,4566.047060442222,11138.384837166739,5899.979912189503,11639.223104050201,15794.490572393017,5785.915771305621,2183.190603769457,6836.246415386642,5589.209484397878,5200.6264450305825,9282.845350520629,4983.851376266188,7767.803301105655,7074.36258815461,5439.118104243794,5223.847444426262,6399.817544030502,5583.875141564338,6331.400341379829,5714.970423703678,6501.080434257892,7593.777972803409
MMMX,10223.713813904815,9066.890918984103,14662.708439597296,0.0,9198.923534624388,12435.185662210233,12896.888950685934,9551.980932636412,11253.545374395047,3365.6070797424704,7665.076602134776,11389.29648462006,3944.571933641011,9844.86446381779,3247.890977992751,7396.77973611544,9713.650891230824,14328.390980757462,8573.011598267407,10270.57949825156,9887.012309094367,13711.343976959879,11295.07456624003,8664.536583495246,8465.097546487645,9429.19591909452,9830.89999106367,9248.791253224706,9555.32776316363,9282.302300217629,9907.578033808217,9172.519686277623,7447.576134836068
LFPG,1103.018721080239,1064.514287652328,6565.92854943909,9198.923534624388,0.0,8189.724353071151,9266.538821703734,449.00506895345995,9709.31227814645,5833.386425117882,9184.123131785209,2213.88650722904,7924.983796384183,681.5692933331298,6018.511701618143,11100.067083107158,850.4974971095637,5238.30373722851,868.6768639079258,1079.12295434704,1837.8392888325443,9363.399547331674,2108.8935232724316,1469.9632862919395,784.9693369031335,2358.800861619531,1895.5582344575273,251.42649654422516,1539.1555178390888,337.5067385741307,852.6058359792816,177.29972762352907,2225.1176543641695
ZBAA,8150.518949275133,9206.378510653298,3811.22316900493,12435.185662210233,8189.724353071151,0.0,1098.8391881220052,7788.395209245619,2133.3180240322217,10977.61138682235,17318.624718116444,7061.75886204329,8491.592942617246,7721.985707506109,10560.263711728265,19289.70928642004,7357.370941408385,5846.428408163956,7936.25672217657,7637.516242212898,6357.094712899396,12967.734897763023,7607.430542904929,9657.682879314776,8268.747197889683,6013.908578937793,6308.537771925007,7945.907748157385,6691.864080722933,7858.784279958065,7461.550939385754,8042.99692176469,7870.884193010363
ZSPD,9172.06002239199,10270.038168674499,4292.294164011961,12896.888950685934,9266.538821703734,1098.8391881220052,0.0,8857.834873324387,1795.1653470701212,11872.965768605623,18271.284864397905,8021.792958328303,9016.027042522252,8778.291229474024,11414.11558758609,19605.48726466171,8428.152127029933,6448.573340149029,9032.685343726816,8670.244773563427,7439.701976930367,12989.53522682959,8557.446927892031,10730.78496714352,9364.445984146492,7111.796723483437,7393.997300475772,9024.973770238224,7780.26414951412,8938.065932826861,8520.514010353765,9123.256093925884,8956.580903846041
EDDF,961.0099196871063,1422.050572145159,6121.185112535329,9551.980932636412,449.00506895345995,7788.395209245619,8857.834873324387,0.0,9366.014476753255,6189.1542734461045,9568.283601551813,1837.858012568955,8062.180754267541,299.0736493547062,6342.662219553331,11502.137750607373,431.6826244968808,4842.872064752151,1032.8584656977316,734.44155732098,1467.8755620952131,9393.055953949077,1815.8370182307754,1873.84706028188,1086.8940196113897,2079.668281738598,1537.9389925099097,304.70667836915743,1222.987175365273,274.34672759363383,406.27801971921986,392.7983156454291,2379.55963806095
RJAA,9907.71324590243,10771.365389773611,5909.250123279566,11253.545374395047,9709.31227814645,2133.3180240322217,1795.1653470701212,9366.014476753255,0.0,10829.468019943439,18531.195791108297,8980.31098908937,7503.3643827802725,9366.60393351221,10299.375959386833,18297.19994521465,8941.163890156917,7978.6421393820765,9254.53199963534,9373.225157229546,7898.436176812024,14780.473523154042,9532.669034889863,11153.913596141403,9590.00408587783,7370.85294938375,7828.74735963798,9457.890709909856,8170.395509786672,9372.118080501896,9102.009097801203,9543.069153437295,8798.321608971684
KJFK,6867.05238818525,5762.025471470951,11754.94829850792,3365.6070797424704,5833.386425117882,10977.61138682235,11872.965768605623,6189.1542734461045,10829.468019943439,0.0,7729.093708099038,8027.011333646928,3929.667087827683,6480.773715334404,587.4088954268707,8534.711892841717,6367.419669376641,11000.82939708662,5224.818687727301,6905.329783235579,6649.356410602336,12560.803274067739,7932.455806289573,5404.309620041176,5102.730002183939,6318.434484589655,6606.914800539541,5885.3697807968165,6291.593874633475,5920.872953839785,6550.828678253268,5807.873795019511,4197.785190963327
