,EETN,FACT,CYVR,LDZA,SAEZ,OMDB,LFPG,EIDW,LGAV,LEMD,EGPH,EDDT,SBGL,EFRO,BIKF,EBBR,LIME,EDDM,LFQQ,CYYZ,EFHK,LKPR,ZSPD,VIDP,KJFK,EDDF,ESSA,LPPT,MMMX,ZBAA,EHEH,LTFM,RJAA
EETN,0,11,11,9,19,17,50,19,19,24,8,29,20,4,5,18,38,20,14,21,34,15,35,38,38,20,27,16,29,33,7,38,51
FACT,10,0,22,16,57,37,63,28,31,43,12,41,69,4,7,30,55,31,21,44,24,22,67,82,80,33,27,30,63,66,9,68,117
CYVR,12,22,0,16,47,30,74,34,30,46,15,46,50,7,10,29,71,39,21,70,24,24,78,75,100,34,31,27,80,77,11,61,128
LDZA,10,17,17,0,24,20,69,26,27,38,12,45,30,3,6,27,62,48,18,27,17,25,42,43,47,30,24,22,41,43,10,53,55
SAEZ,23,65,50,28,0,51,129,48,54,91,24,63,134,9,16,48,92,55,34,88,44,34,98,107,177,49,50,50,143,121,18,90,171
OMDB,18,32,31,23,64,0,98,31,34,50,17,55,55,7,10,40,82,48,27,56,36,33,108,123,107,43,38,36,60,91,15,98,125
LFPG,45,76,78,67,129,107,0,129,102,197,68,181,151,20,34,195,335,144,170,131,88,95,221,192,233,176,106,123,139,190,63,213,287
EIDW,18,30,29,23,55,43,147,0,45,73,34,69,56,7,13,49,110,45,41,68,30,33,78,81,105,61,48,46,79,82,19,79,111
LGAV,17,30,31,28,57,50,125,47,0,74,19,73,61,8,11,44,86,51,35,52,39,41,81,101,97,49,45,36,76,83,17,126,129
LEMD,23,47,56,37,75,55,201,70,67,0,39,98,88,12,16,64,140,87,63,92,52,64,105,120,180,76,68,79,113,107,26,132,175
EGPH,7,13,15,10,22,20,66,30,20,34,0,30,25,4,6,26,51,28,21,26,18,19,41,40,50,25,24,21,30,39,8,34,55
EDDT,29,36,53,41,66,56,189,65,71,106,30,0,78,13,16,77,166,94,56,68,63,75,115,141,135,99,88,59,99,110,37,122,172
SBGL,22,66,52,28,134,55,132,64,54,89,24,60,0,10,16,53,120,66,39,105,42,47,111,125,141,50,54,54,143,121,16,123,158
EFRO,3,5,7,4,9,9,20,8,8,10,4,12,10,0,1,8,16,9,6,10,9,7,16,19,20,10,12,8,12,17,2,16,24
BIKF,5,8,10,6,15,11,31,15,10,19,6,16,17,3,0,11,22,14,9,17,10,9,26,22,31,12,12,10,21,21,4,20,31
EBBR,19,31,33,23,56,39,191,56,46,86,30,84,60,9,12,0,125,63,65,48,38,45,89,90,91,82,51,42,74,75,38,76,102
LIME,35,69,63,73,110,76,346,93,111,147,45,157,124,16,24,117,0,175,90,114,67,100,160,198,221,118,98,90,132,155,43,207,205
EDDM,19,34,35,45,55,47,182,58,65,85,31,102,60,8,14,64,178,0,55,65,46,71,93,95,120,84,56,43,80,90,24,107,142
LFQQ,14,22,24,19,44,29,159,43,33,58,18,66,43,6,10,76,93,53,0,44,32,39,70,67,70,55,38,37,55,58,23,80,77
CYYZ,19,43,70,26,89,57,126,68,51,92,27,78,94,10,16,58,106,65,43,0,40,42,138,132,302,47,48,54,166,116,17,112,163
EFHK,28,23,28,18,38,30,96,37,41,52,15,55,43,8,9,39,81,46,27,52,0,30,74,81,81,38,61,30,61,66,15,66,96
LKPR,17,25,27,26,40,30,104,39,42,47,17,81,43,7,9,43,87,67,40,48,26,0,57,81,83,65,48,29,60,67,18,77,91
ZSPD,31,84,82,44,118,105,221,75,94,110,43,122,132,18,24,66,172,97,63,122,57,70,0,258,228,78,83,80,181,333,30,175,490
VIDP,37,85,82,45,112,116,220,73,86,150,37,142,136,18,24,91,162,101,59,121,76,78,259,0,236,92,88,91,160,249,36,193,338
KJFK,34,79,113,50,177,102,242,98,85,187,50,138,172,21,31,87,205,107,72,287,78,86,249,216,0,108,92,108,262,211,37,199,336
EDDF,19,31,29,34,58,45,194,57,54,83,28,93,59,8,13,69,141,105,54,66,36,64,92,92,80,0,50,43,85,74,28,108,132
ESSA,31,29,33,24,49,45,133,49,38,67,27,81,59,11,12,45,83,52,39,63,50,42,85,98,115,57,0,37,62,82,18,93,141
LPPT,14,25,29,22,50,39,111,47,44,95,23,50,54,7,11,43,90,42,39,48,28,31,77,68,104,39,42,0,74,69,15,74,91
MMMX,30,63,75,41,120,71,175,84,68,126,34,98,124,15,22,66,154,80,51,154,51,58,155,151,300,73,79,66,0,154,25,111,261
ZBAA,37,72,88,41,125,96,193,86,78,118,43,107,112,17,23,70,154,82,63,122,73,66,374,233,225,84,84,61,151,0,31,177,361
EHEH,7,11,11,10,19,16,59,24,17,26,9,24,20,3,4,40,43,27,19,17,13,16,28,30,35,29,17,17,24,30,0,32,36
LTFM,34,60,65,63,96,105,199,85,139,132,35,124,107,18,20,86,213,112,72,96,84,79,190,198,175,99,89,82,131,175,31,0,222
RJAA,52,99,120,64,189,147,268,111,119,160,46,155,194,24,33,115,248,122,75,184,88,90,453,383,293,133,118,92,263,470,41,226,0
