,LIME,MMMX,OMDB,LFPG,ZBAA,EDDM,ZSPD,LEMD,VIDP,SAEZ,CYVR,LTFM,CYYZ,EDDT,SBGL,KJFK,RJAA,EDDF,LDZA,LFQQ,EBBR,EFHK,EGPH,LPPT,EFRO,EHEH,EIDW,LGAV,FACT,BIKF,EETN,ESSA,LKPR
LIME,0.0,9842.13188680207,4634.411696551434,654.1798188036887,8032.26904485344,337.8149533285702,9081.345720298381,1220.367427968824,6082.706185320692,11262.454460082292,8524.300246721084,1608.6007846928012,6671.136708671728,809.2271754296073,9300.145436141222,6477.675550240074,9698.334104120337,492.550415734113,494.3715279576347,731.8948304163779,697.6241308496129,1912.2938553387621,1461.4919162938756,1724.0154738241492,2510.9812975034515,716.9528370522909,1433.663567238871,1457.2765076695869,8900.787773541293,2826.491908642492,1829.3731684707757,1647.7243899240607,598.695349516173
MMMX,9842.13188680207,0.0,14328.390980757462,9198.923534624388,12435.185662210233,9844.86446381779,12896.888950685934,9066.890918984103,14662.708439597296,7396.77973611544,3944.571933641011,11389.29648462006,3247.890977992751,9713.650891230824,7665.076602134776,3365.6070797424704,11253.545374395047,9551.980932636412,10270.57949825156,9172.519686277623,9248.791253224706,9830.89999106367,8573.011598267407,8664.536583495246,9429.19591909452,9282.302300217629,8465.097546487645,11295.07456624003,13711.343976959879,7447.576134836068,9887.012309094367,9555.32776316363,9907.578033808217
OMDB,4634.411696551434,14328.390980757462,0.0,5238.30373722851,5846.428408163956,4563.68638327735,6448.573340149029,5648.573067280119,2183.190603769457,13675.498953376862,11735.171711494506,3027.9011773987722,11080.592571500489,4634.536188630778,11884.360300095565,11000.82939708662,7978.6421393820765,4842.872064752151,4162.586440529364,5233.556863398388,5147.156165772344,4537.025110362885,5776.784700011543,6137.549256169119,5027.306459147683,5102.345397401615,5918.191105076748,3271.3092464029237,7644.498781549268,6885.950773003389,4471.733222742804,4784.718435844448,4463.278821580964
LFPG,654.1798188036887,9198.923534624388,5238.30373722851,0.0,8189.724353071151,681.5692933331298,9266.538821703734,1064.514287652328,6565.92854943909,11100.067083107158,7924.983796384183,2213.88650722904,6018.511701618143,850.4974971095637,9184.123131785209,5833.386425117882,9709.31227814645,449.00506895345995,1079.12295434704,177.29972762352907,251.42649654422516,1895.5582344575273,868.6768639079258,1469.9632862919395,2358.800861619531,337.5067385741307,784.9693369031335,2108.8935232724316,9363.399547331674,2225.1176543641695,1837.8392888325443,1539.1555178390888,852.6058359792816
ZBAA,8032.26904485344,12435.185662210233,5846.428408163956,8189.724353071151,0.0,7721.985707506109,1098.8391881220052,9206.378510653298,3811.22316900493,19289.70928642004,8491.592942617246,7061.75886204329,10560.263711728265,7357.370941408385,17318.624718116444,10977.61138682235,2133.3180240322217,7788.395209245619,7637.516242212898,8042.99692176469,7945.907748157385,6308.537771925007,7936.25672217657,9657.682879314776,6013.908578937793,7858.784279958065,8268.747197889683,7607.430542904929,12967.734897763023,7870.884193010363,6357.094712899396,6691.864080722933,7461.550939385754
EDDM,337.8149533285702,9844.86446381779,4563.68638327735,681.5692933331298,7721.985707506109,0.0,8778.291229474024,1496.9693797182808,5899.979912189503,11571.029543749757,8340.059905344417,1547.9829132915345,6639.638079367699,479.5750967765883,9616.447470619587,6480.773715334404,9366.60393351221,299.0736493547062,435.372805823521,673.6101624423094,596.828250612871,1574.5399279099283,1330.3366233869128,1983.6079398270863,2179.5591456309016,573.3926461914037,1381.2860601870107,1517.8783303811158,9179.18835595483,2669.2628149565803,1491.5970050572942,1317.3110466843007,264.80111614065527
ZSPD,9081.345720298381,12896.888950685934,6448.573340149029,9266.538821703734,1098.8391881220052,8778.291229474024,0.0,10270.038168674499,4292.294164011961,19605.48726466171,9016.027042522252,8021.792958328303,11414.11558758609,8428.152127029933,18271.284864397905,11872.965768605623,1795.1653470701212,8857.834873324387,8670.244773563427,9123.256093925884,9024.973770238224,7393.997300475772,9032.685343726816,10730.78496714352,7111.796723483437,8938.065932826861,9364.445984146492,8557.446927892031,12989.53522682959,8956.580903846041,7439.701976930367,7780.26414951412,8520.514010353765
LEMD,1220.367427968824,9066.890918984103,5648.573067280119,1064.514287652328,9206.378510653298,1496.9693797182808,10270.038168674499,0.0,7255.328214906565,10084.891062660701,8426.398460222947,2702.2488319417575,6058.631933989723,1853.640992836451,8146.258928316377,5762.025471470951,10771.365389773611,1422.050572145159,1692.5382745319923,1235.5813496072453,1315.552739483112,2947.4320721225527,1721.1421621023853,512.8845584370001,3422.0000222935455,1400.4404453661639,1454.225118962622,2377.4313326404604,8584.107113717999,2888.0069315874402,2883.3149200833927,2601.3493707511634,1750.6615229202562
VIDP,6082.706185320692,14662.708439597296,2183.190603769457,6565.92854943909,3811.22316900493,5899.979912189503,4292.294164011961,7255.328214906565,0.0,15794.490572393017,11138.384837166739,4566.047060442222,11639.223104050201,5785.915771305621,14063.511167522962,11754.94829850792,5909.250123279566,6121.185112535329,5589.209484397878,6501.080434257892,6399.817544030502,5223.847444426262,6836.246415386642,7767.803301105655,5439.118104243794,6331.400341379829,7074.36258815461,4983.851376266188,9282.845350520629,7593.777972803409,5200.6264450305825,5583.875141564338,5714.970423703678
SAEZ,11262.454460082292,7396.77973611544,13675.498953376862,11100.067083107158,19289.70928642004,11571.029543749757,19605.48726466171,10084.891062660701,15794.490572393017,0.0,11306.011894863244,12266.824206187948,8985.871186138354,11933.024922521272,1995.428353470573,8534.711892841717,18297.19994521465,11502.137750607373,11662.142744355435,11246.712767060582,11343.810900959297,12981.387744901565,11358.623493704585,9632.30052917482,13282.900559270385,11430.931607617464,11025.405820274522,11725.05562218717,6886.082041979985,11460.844970957083,12932.640473630083,12598.548940741373,11830.92337423204
CYVR,8524.300246721084,3944.571933641011,11735.171711494506,7924.983796384183,8491.592942617246,8340.059905344417,9016.027042522252,8426.398460222947,11138.384837166739,11306.011894863244,0.0,9588.351242168645,3346.065262820104,7979.429067098594,11212.325649046332,3929.667087827683,7503.3643827802725,8062.180754267541,8746.620493868128,7804.029472119836,7827.183480204533,7505.149627195536,7067.373027293543,8288.503867714651,6878.634761429539,7809.899033180775,7164.329817709851,9800.56504320369,16465.20953208748,5701.731716788582,7595.2331088364135,7411.6744673739295,8252.779547259795
