,LIMC,EDDF,RJAA,KJFK,SBGL,CYVR,LEMD,CYYZ,ZBAA,LTFM,SAEZ,ZSPD,EDDM,LFPG,VIDP,OMDB,EDDT,MMMX,EFHK,EBBR,EGPH,LKPR,FACT,LGAV,BIKF,ESSA,EIDW,LPPT,EETN,LFQQ,EFRO,LDZA,EHEH
LIMC,0.0,490.1396104415254,9749.009266937597,6411.630216485815,9240.443773621446,8490.289487372997,1148.5660668194528,6609.43313822485,8094.086522767396,1683.3050965704033,11200.030488781033,9145.462921839513,382.4534017470018,597.647227692862,6159.502244229665,4708.190352626581,839.4229173232067,9775.445770070051,1951.0929540754787,664.3952506566018,1423.7549912527588,647.0153232599317,8906.660841148243,1521.438716868451,2789.8815830930635,1675.0268443034151,1381.192654254011,1650.4062874119006,1870.2436430922335,689.0474073989398,2538.132936085888,571.2976495991094,692.3835754883867
EDDF,490.1396104415254,0.0,9366.014476753255,6189.1542734461045,9568.283601551813,8062.180754267541,1422.050572145159,6342.662219553331,7788.395209245619,1837.858012568955,11502.137750607373,8857.834873324387,299.0736493547062,449.00506895345995,6121.185112535329,4842.872064752151,431.6826244968808,9551.980932636412,1537.9389925099097,304.70667836915743,1032.8584656977316,406.27801971921986,9393.055953949077,1815.8370182307754,2379.55963806095,1222.987175365273,1086.8940196113897,1873.84706028188,1467.8755620952131,392.7983156454291,2079.668281738598,734.44155732098,274.34672759363383
RJAA,9749.009266937597,9366.014476753255,0.0,10829.468019943439,18531.195791108297,7503.3643827802725,10771.365389773611,10299.375959386833,2133.3180240322217,8980.31098908937,18297.19994521465,1795.1653470701212,9366.60393351221,9709.31227814645,5909.250123279566,7978.6421393820765,8941.163890156917,11253.545374395047,7828.74735963798,9457.890709909856,9254.53199963534,9102.009097801203,14780.473523154042,9532.669034889863,8798.321608971684,8170.395509786672,9590.00408587783,11153.913596141403,7898.436176812024,9543.069153437295,7370.85294938375,9373.225157229546,9372.118080501896
KJFK,6411.630216485815,6189.1542734461045,10829.468019943439,0.0,7729.093708099038,3929.667087827683,5762.025471470951,587.4088954268707,10977.61138682235,8027.011333646928,8534.711892841717,11872.965768605623,6480.773715334404,5833.386425117882,11754.94829850792,11000.82939708662,6367.419669376641,3365.6070797424704,6606.914800539541,5885.3697807968165,5224.818687727301,6550.828678253268,12560.803274067739,7932.455806289573,4197.785190963327,6291.593874633475,5102.730002183939,5404.309620041176,6649.356410602336,5807.873795019511,6318.434484589655,6905.329783235579,5920.872953839785
SBGL,9240.443773621446,9568.283601551813,18531.195791108297,7729.093708099038,0.0,11212.325649046332,8146.258928316377,8271.186132408277,17318.624718116444,10271.767959942494,1995.428353470573,18271.284864397905,9616.447470619587,9184.123131785209,14063.511167522962,11884.360300095565,9999.899573136834,7665.076602134776,11078.85214073269,9432.38980302497,9529.814395113926,9879.080082772547,6087.871598998781,9730.98460712888,9842.304164811861,10709.342326685113,9192.749867185408,7714.979604082941,11021.75343361116,9339.141101101264,11451.376242794004,9684.845164511811,9519.607478719365
CYVR,8490.289487372997,8062.180754267541,7503.3643827802725,3929.667087827683,11212.325649046332,0.0,8426.398460222947,3346.065262820104,8491.592942617246,9588.351242168645,11306.011894863244,9016.027042522252,8340.059905344417,7924.983796384183,11138.384837166739,11735.171711494506,7979.429067098594,3944.571933641011,7505.149627195536,7827.183480204533,7067.373027293543,8252.779547259795,16465.20953208748,9800.56504320369,5701.731716788582,7411.6744673739295,7164.329817709851,8288.503867714651,7595.2331088364135,7804.029472119836,6878.634761429539,8746.620493868128,7809.899033180775
LEMD,1148.5660668194528,1422.050572145159,10771.365389773611,5762.025471470951,8146.258928316377,8426.398460222947,0.0,6058.631933989723,9206.378510653298,2702.2488319417575,10084.891062660701,10270.038168674499,1496.9693797182808,1064.514287652328,7255.328214906565,5648.573067280119,1853.640992836451,9066.890918984103,2947.4320721225527,1315.552739483112,1721.1421621023853,1750.6615229202562,8584.107113717999,2377.4313326404604,2888.0069315874402,2601.3493707511634,1454.225118962622,512.8845584370001,2883.3149200833927,1235.5813496072453,3422.0000222935455,1692.5382745319923,1400.4404453661639
CYYZ,6609.43313822485,6342.662219553331,10299.375959386833,587.4088954268707,8271.186132408277,3346.065262820104,6058.631933989723,0.0,10560.263711728265,8171.274964889148,8985.871186138354,11414.11558758609,6639.638079367699,6018.511701618143,11639.223104050201,11080.592571500489,6477.895440186134,3247.890977992751,6598.71606358994,6043.2341631455665,5342.430556810266,6682.817209516884,13136.631844292497,8127.399159836934,4202.689344520942,6311.706893929508,5259.66456365284,5739.078245285105,6650.662663103135,5973.892370679363,6243.416783834656,7071.777341214486,6069.742465228985
ZBAA,8094.086522767396,7788.395209245619,2133.3180240322217,10977.61138682235,17318.624718116444,8491.592942617246,9206.378510653298,10560.263711728265,0.0,7061.75886204329,19289.70928642004,1098.8391881220052,7721.985707506109,8189.724353071151,3811.22316900493,5846.428408163956,7357.370941408385,12435.185662210233,6308.537771925007,7945.907748157385,7936.25672217657,7461.550939385754,12967.734897763023,7607.430542904929,7870.884193010363,6691.864080722933,8268.747197889683,9657.682879314776,6357.094712899396,8042.99692176469,6013.908578937793,7637.516242212898,7858.784279958065
LTFM,1683.3050965704033,1837.858012568955,8980.31098908937,8027.011333646928,10271.767959942494,9588.351242168645,2702.2488319417575,8171.274964889148,7061.75886204329,0.0,12266.824206187948,8021.792958328303,1547.9829132915345,2213.88650722904,4566.047060442222,3027.9011773987722,1712.5684114372132,11389.29648462006,2134.8799157182702,2141.818322400416,2830.767342771072,1489.3589955451396,8429.362191332484,552.3631359390542,4087.246738830808,2177.481833179683,2924.4683551417634,3211.7174335800105,2037.0282863908224,2221.5840343980844,2818.8505107888336,1135.558870168953,2107.001771303601
