,SBGL,ZBAA,EHEH,BIKF,LTFM,LFQQ,LIMC,SAEZ,EETN,RJAA,LFPG,EDDT,ESSA,EGPH,EFRO,EFHK,VIDP,EDDM,MMMX,EIDW,EDDF,LDZA,FACT,ZSPD,LKPR,CYVR,LEMD,CYYZ,EBBR,OMDB,LGAV,KJFK,LPPT
SBGL,0,127,18,15,119,41,107,137,22,183,133,84,50,23,10,40,151,64,146,59,58,30,57,113,43,52,88,102,56,59,52,155,49
ZBAA,123,0,30,26,174,57,159,110,30,416,173,113,89,40,20,63,228,82,174,73,79,41,73,338,62,86,107,109,81,106,82,193,82
EHEH,19,26,0,4,30,22,47,19,6,39,69,29,18,9,3,14,29,24,29,24,30,10,11,27,16,11,21,18,38,12,17,38,14
BIKF,16,25,4,0,21,10,22,15,4,29,32,16,13,6,2,9,21,13,26,13,13,6,7,26,8,8,18,19,10,10,12,30,10
LTFM,107,160,36,22,0,63,187,106,37,217,227,130,86,41,16,77,205,117,134,87,104,56,67,188,76,60,131,107,80,95,136,181,81
LFQQ,46,58,24,10,71,0,90,36,14,81,148,65,37,22,6,32,69,46,52,46,54,22,22,62,44,26,62,45,67,31,37,84,34
LIMC,96,159,34,24,169,102,0,101,39,242,238,161,92,50,16,69,170,141,152,93,135,64,58,162,93,51,157,103,113,84,111,181,84
SAEZ,133,102,17,17,100,39,89,0,18,162,132,63,48,24,10,39,130,56,114,50,58,24,53,129,45,52,75,89,44,53,48,168,48
EETN,24,32,6,4,37,13,41,20,0,45,41,27,29,10,4,33,39,23,27,18,19,9,11,35,18,13,25,20,19,17,19,44,16
RJAA,161,439,39,34,192,88,241,185,45,0,301,160,121,51,21,103,346,113,273,113,122,57,106,495,92,128,174,196,111,126,128,286,83
LFPG,127,207,58,29,182,157,336,127,43,307,0,190,134,71,19,82,190,137,199,151,163,60,69,193,110,74,214,134,173,101,100,230,114
EDDT,64,99,29,18,126,61,134,66,31,180,187,0,74,33,10,59,114,102,114,72,92,43,46,137,80,45,104,75,88,58,64,145,62
ESSA,62,92,18,12,95,38,90,43,28,101,113,81,0,26,11,58,86,57,69,46,51,25,28,88,42,33,61,63,48,42,50,103,34
EGPH,25,37,9,5,40,18,52,24,9,55,66,30,21,0,4,19,36,26,35,34,28,11,16,33,19,15,37,26,26,18,18,50,20
EFRO,10,18,3,2,17,6,15,9,4,21,23,12,11,4,0,10,16,10,16,8,10,4,5,17,6,6,11,11,9,8,8,19,7
EFHK,44,71,14,9,75,26,78,47,28,101,89,61,54,21,10,0,80,45,61,39,40,22,19,56,34,25,53,41,41,37,36,83,30
VIDP,153,238,29,27,199,72,172,104,39,342,197,115,89,43,21,70,0,87,195,77,78,52,77,285,76,80,144,123,88,134,90,228,74
EDDM,60,97,20,11,105,51,147,58,27,127,168,104,54,30,11,46,112,0,76,57,82,45,36,70,73,33,84,65,72,45,61,104,48
MMMX,149,154,25,22,149,61,155,144,29,262,188,98,71,35,14,47,180,89,0,75,75,34,65,203,60,84,116,164,71,69,76,270,69
EIDW,47,69,21,13,89,49,111,56,18,113,130,79,45,36,9,36,80,52,75,0,48,24,25,76,39,35,72,61,49,37,41,111,43
EDDF,51,93,30,14,100,50,124,56,21,120,170,111,51,30,9,42,81,76,76,51,0,33,29,72,65,34,71,52,81,41,60,103,46
LDZA,29,41,9,5,55,19,70,23,9,60,72,40,24,11,4,18,41,38,33,24,27,0,13,47,30,17,34,26,28,20,26,44,23
FACT,57,84,10,8,61,21,55,59,10,109,65,40,26,13,5,23,71,35,61,32,31,17,0,81,25,28,50,41,29,30,33,79,30
ZSPD,130,317,33,21,170,62,142,112,35,574,203,119,91,37,17,68,312,81,176,79,96,46,70,0,73,84,125,125,79,105,94,200,65
LKPR,43,64,18,9,74,39,85,39,14,88,124,87,44,20,7,28,65,72,59,36,52,24,23,63,0,25,52,38,46,31,38,69,32
CYVR,54,82,11,10,53,23,58,52,12,136,79,50,28,15,6,23,76,37,87,30,34,15,21,82,24,0,43,71,37,33,30,121,30
LEMD,88,110,25,19,140,63,140,75,27,177,177,93,68,34,13,52,142,83,112,72,88,36,47,132,60,44,0,74,77,63,73,157,90
CYYZ,96,102,19,16,118,39,101,101,22,144,146,81,48,23,11,40,122,59,152,65,55,28,39,123,45,71,92,0,59,56,63,385,48
EBBR,47,77,38,12,86,77,127,51,16,105,192,71,59,28,8,38,92,61,70,58,73,28,30,85,44,30,73,52,0,38,49,90,41
OMDB,62,95,13,12,104,25,78,53,15,132,102,53,38,19,8,32,146,47,74,32,41,23,36,110,30,31,55,57,39,0,47,90,30
LGAV,51,90,16,10,144,38,100,52,18,128,108,67,50,16,8,34,96,60,64,44,52,25,37,85,43,30,62,55,47,56,0,119,40
KJFK,198,231,31,29,168,84,197,164,37,298,242,137,108,53,18,80,213,105,302,108,91,48,92,241,69,101,148,291,89,107,90,0,97
LPPT,59,74,14,11,75,32,89,47,13,105,110,49,37,20,8,31,74,44,65,44,42,23,29,82,31,29,105,57,53,35,42,94,0
