,LIMC,LFPG,ZSPD,LEMD,RJAA,SAEZ,KJFK,CYYZ,SBGL,MMMX,EDDM,OMDB,EDDT,EDDF,CYVR,VIDP,LTFM,ZBAA,EBBR,EFRO,EGPH,EFHK,LKPR,LFQQ,BIKF,LDZA,ESSA,EIDW,LGAV,FACT,EHEH,LPPT,EETN
LIMC,0.0,597.647227692862,9145.462921839513,1148.5660668194528,9749.009266937597,11200.030488781033,6411.630216485815,6609.43313822485,9240.443773621446,9775.445770070051,382.4534017470018,4708.190352626581,839.4229173232067,490.1396104415254,8490.289487372997,6159.502244229665,1683.3050965704033,8094.086522767396,664.3952506566018,2538.132936085888,1423.7549912527588,1951.0929540754787,647.0153232599317,689.0474073989398,2789.8815830930635,571.2976495991094,1675.0268443034151,1381.192654254011,1521.438716868451,8906.660841148243,692.3835754883867,1650.4062874119006,1870.2436430922335
LFPG,597.647227692862,0.0,9266.538821703734,1064.514287652328,9709.31227814645,11100.067083107158,5833.386425117882,6018.511701618143,9184.123131785209,9198.923534624388,681.5692933331298,5238.30373722851,850.4974971095637,449.00506895345995,7924.983796384183,6565.92854943909,2213.88650722904,8189.724353071151,251.42649654422516,2358.800861619531,868.6768639079258,1895.5582344575273,852.6058359792816,177.29972762352907,2225.1176543641695,1079.12295434704,1539.1555178390888,784.9693369031335,2108.8935232724316,9363.399547331674,337.5067385741307,1469.9632862919395,1837.8392888325443
ZSPD,9145.462921839513,9266.538821703734,0.0,10270.038168674499,1795.1653470701212,19605.48726466171,11872.965768605623,11414.11558758609,18271.284864397905,12896.888950685934,8778.291229474024,6448.573340149029,8428.152127029933,8857.834873324387,9016.027042522252,4292.294164011961,8021.792958328303,1098.8391881220052,9024.973770238224,7111.796723483437,9032.685343726816,7393.997300475772,8520.514010353765,9123.256093925884,8956.580903846041,8670.244773563427,7780.26414951412,9364.445984146492,8557.446927892031,12989.53522682959,8938.065932826861,10730.78496714352,7439.701976930367
LEMD,1148.5660668194528,1064.514287652328,10270.038168674499,0.0,10771.365389773611,10084.891062660701,5762.025471470951,6058.631933989723,8146.258928316377,9066.890918984103,1496.9693797182808,5648.573067280119,1853.640992836451,1422.050572145159,8426.398460222947,7255.328214906565,2702.2488319417575,9206.378510653298,1315.552739483112,3422.0000222935455,1721.1421621023853,2947.4320721225527,1750.6615229202562,1235.5813496072453,2888.0069315874402,1692.5382745319923,2601.3493707511634,1454.225118962622,2377.4313326404604,8584.107113717999,1400.4404453661639,512.8845584370001,2883.3149200833927
RJAA,9749.009266937597,9709.31227814645,1795.1653470701212,10771.365389773611,0.0,18297.19994521465,10829.468019943439,10299.375959386833,18531.195791108297,11253.545374395047,9366.60393351221,7978.6421393820765,8941.163890156917,9366.014476753255,7503.3643827802725,5909.250123279566,8980.31098908937,2133.3180240322217,9457.890709909856,7370.85294938375,9254.53199963534,7828.74735963798,9102.009097801203,9543.069153437295,8798.321608971684,9373.225157229546,8170.395509786672,9590.00408587783,9532.669034889863,14780.473523154042,9372.118080501896,11153.913596141403,7898.436176812024
SAEZ,11200.030488781033,11100.067083107158,19605.48726466171,10084.891062660701,18297.19994521465,0.0,8534.711892841717,8985.871186138354,1995.428353470573,7396.77973611544,11571.029543749757,13675.498953376862,11933.024922521272,11502.137750607373,11306.011894863244,15794.490572393017,12266.824206187948,19289.70928642004,11343.810900959297,13282.900559270385,11358.623493704585,12981.387744901565,11830.92337423204,11246.712767060582,11460.844970957083,11662.142744355435,12598.548940741373,11025.405820274522,11725.05562218717,6886.082041979985,11430.931607617464,9632.30052917482,12932.640473630083
KJFK,6411.630216485815,5833.386425117882,11872.965768605623,5762.025471470951,10829.468019943439,8534.711892841717,0.0,587.4088954268707,7729.093708099038,3365.6070797424704,6480.773715334404,11000.82939708662,6367.419669376641,6189.1542734461045,3929.667087827683,11754.94829850792,8027.011333646928,10977.61138682235,5885.3697807968165,6318.434484589655,5224.818687727301,6606.914800539541,6550.828678253268,5807.873795019511,4197.785190963327,6905.329783235579,6291.593874633475,5102.730002183939,7932.455806289573,12560.803274067739,5920.872953839785,5404.309620041176,6649.356410602336
CYYZ,6609.43313822485,6018.511701618143,11414.11558758609,6058.631933989723,10299.375959386833,8985.871186138354,587.4088954268707,0.0,8271.186132408277,3247.890977992751,6639.638079367699,11080.592571500489,6477.895440186134,6342.662219553331,3346.065262820104,11639.223104050201,8171.274964889148,10560.263711728265,6043.2341631455665,6243.416783834656,5342.430556810266,6598.71606358994,6682.817209516884,5973.892370679363,4202.689344520942,7071.777341214486,6311.706893929508,5259.66456365284,8127.399159836934,13136.631844292497,6069.742465228985,5739.078245285105,6650.662663103135
SBGL,9240.443773621446,9184.123131785209,18271.284864397905,8146.258928316377,18531.195791108297,1995.428353470573,7729.093708099038,8271.186132408277,0.0,7665.076602134776,9616.447470619587,11884.360300095565,9999.899573136834,9568.283601551813,11212.325649046332,14063.511167522962,10271.767959942494,17318.624718116444,9432.38980302497,11451.376242794004,9529.814395113926,11078.85214073269,9879.080082772547,9339.141101101264,9842.304164811861,9684.845164511811,10709.342326685113,9192.749867185408,9730.98460712888,6087.871598998781,9519.607478719365,7714.979604082941,11021.75343361116
MMMX,9775.445770070051,9198.923534624388,12896.888950685934,9066.890918984103,11253.545374395047,7396.77973611544,3365.6070797424704,3247.890977992751,7665.076602134776,0.0,9844.86446381779,14328.390980757462,9713.650891230824,9551.980932636412,3944.571933641011,14662.708439597296,11389.29648462006,12435.185662210233,9248.791253224706,9429.19591909452,8573.011598267407,9830.89999106367,9907.578033808217,9172.519686277623,7447.576134836068,10270.57949825156,9555.32776316363,8465.097546487645,11295.07456624003,13711.343976959879,9282.302300217629,8664.536583495246,9887.012309094367
