,LIRF,ZSPD,SBGL,EDDT,EDDF,MMMX,RJAA,ZBAA,LEMD,KJFK,OMDB,VIDP,LFPG,LTFM,SAEZ,EDDM,CYVR,CYYZ,EBBR,LPPT,LDZA,EETN,EGPH,LKPR,FACT,EIDW,LGAV,EFHK,ESSA,EFRO,EHEH,LFQQ,BIKF
LIRF,0.0,9172.06002239199,9169.145384992777,1201.9453532976966,961.0099196871063,10223.713813904815,9907.71324590243,8150.518949275133,1329.6414771353595,6867.05238818525,4342.77025770545,5933.755490675376,1103.018721080239,1373.0851274414642,11152.64657458875,732.5545180372009,9002.229875705996,7086.091111460242,1175.0465897459446,1838.6369514241565,537.5358486485911,2144.7432662773303,1936.9351306841388,939.0896343890475,8447.492147870096,1887.877045473529,1085.5162109803623,2236.527853659462,2026.0100284147838,2879.518914006426,1195.6116672542362,1202.6733084178702,3302.877772645817
ZSPD,9172.06002239199,0.0,18271.284864397905,8428.152127029933,8857.834873324387,12896.888950685934,1795.1653470701212,1098.8391881220052,10270.038168674499,11872.965768605623,6448.573340149029,4292.294164011961,9266.538821703734,8021.792958328303,19605.48726466171,8778.291229474024,9016.027042522252,11414.11558758609,9024.973770238224,10730.78496714352,8670.244773563427,7439.701976930367,9032.685343726816,8520.514010353765,12989.53522682959,9364.445984146492,8557.446927892031,7393.997300475772,7780.26414951412,7111.796723483437,8938.065932826861,9123.256093925884,8956.580903846041
SBGL,9169.145384992777,18271.284864397905,0.0,9999.899573136834,9568.283601551813,7665.076602134776,18531.195791108297,17318.624718116444,8146.258928316377,7729.093708099038,11884.360300095565,14063.511167522962,9184.123131785209,10271.767959942494,1995.428353470573,9616.447470619587,11212.325649046332,8271.186132408277,9432.38980302497,7714.979604082941,9684.845164511811,11021.75343361116,9529.814395113926,9879.080082772547,6087.871598998781,9192.749867185408,9730.98460712888,11078.85214073269,10709.342326685113,11451.376242794004,9519.607478719365,9339.141101101264,9842.304164811861
EDDT,1201.9453532976966,8428.152127029933,9999.899573136834,0.0,431.6826244968808,9713.650891230824,8941.163890156917,7357.370941408385,1853.640992836451,6367.419669376641,4634.536188630778,5785.915771305621,850.4974971095637,1712.5684114372132,11933.024922521272,479.5750967765883,7979.429067098594,6477.895440186134,633.1798423077714,2302.6857424820937,784.5721209488278,1043.7146044590377,1142.604257606154,281.576913555292,9635.66209352229,1308.440821698761,1823.2230335509435,1118.8430222369009,838.7723740907484,1701.8548750228817,554.9586303035887,737.3544487142678,2379.1423258300797
EDDF,961.0099196871063,8857.834873324387,9568.283601551813,431.6826244968808,0.0,9551.980932636412,9366.014476753255,7788.395209245619,1422.050572145159,6189.1542734461045,4842.872064752151,6121.185112535329,449.00506895345995,1837.858012568955,11502.137750607373,299.0736493547062,8062.180754267541,6342.662219553331,304.70667836915743,1873.84706028188,734.44155732098,1467.8755620952131,1032.8584656977316,406.27801971921986,9393.055953949077,1086.8940196113897,1815.8370182307754,1537.9389925099097,1222.987175365273,2079.668281738598,274.34672759363383,392.7983156454291,2379.55963806095
MMMX,10223.713813904815,12896.888950685934,7665.076602134776,9713.650891230824,9551.980932636412,0.0,11253.545374395047,12435.185662210233,9066.890918984103,3365.6070797424704,14328.390980757462,14662.708439597296,9198.923534624388,11389.29648462006,7396.77973611544,9844.86446381779,3944.571933641011,3247.890977992751,9248.791253224706,8664.536583495246,10270.57949825156,9887.012309094367,8573.011598267407,9907.578033808217,13711.343976959879,8465.097546487645,11295.07456624003,9830.89999106367,9555.32776316363,9429.19591909452,9282.302300217629,9172.519686277623,7447.576134836068
RJAA,9907.71324590243,1795.1653470701212,18531.195791108297,8941.163890156917,9366.014476753255,11253.545374395047,0.0,2133.3180240322217,10771.365389773611,10829.468019943439,7978.6421393820765,5909.250123279566,9709.31227814645,8980.31098908937,18297.19994521465,9366.60393351221,7503.3643827802725,10299.375959386833,9457.890709909856,11153.913596141403,9373.225157229546,7898.436176812024,9254.53199963534,9102.009097801203,14780.473523154042,9590.00408587783,9532.669034889863,7828.74735963798,8170.395509786672,7370.85294938375,9372.118080501896,9543.069153437295,8798.321608971684
ZBAA,8150.518949275133,1098.8391881220052,17318.624718116444,7357.370941408385,7788.395209245619,12435.185662210233,2133.3180240322217,0.0,9206.378510653298,10977.61138682235,5846.428408163956,3811.22316900493,8189.724353071151,7061.75886204329,19289.70928642004,7721.985707506109,8491.592942617246,10560.263711728265,7945.907748157385,9657.682879314776,7637.516242212898,6357.094712899396,7936.25672217657,7461.550939385754,12967.734897763023,8268.747197889683,7607.430542904929,6308.537771925007,6691.864080722933,6013.908578937793,7858.784279958065,8042.99692176469,7870.884193010363
LEMD,1329.6414771353595,10270.038168674499,8146.258928316377,1853.640992836451,1422.050572145159,9066.890918984103,10771.365389773611,9206.378510653298,0.0,5762.025471470951,5648.573067280119,7255.328214906565,1064.514287652328,2702.2488319417575,10084.891062660701,1496.9693797182808,8426.398460222947,6058.631933989723,1315.552739483112,512.8845584370001,1692.5382745319923,2883.3149200833927,1721.1421621023853,1750.6615229202562,8584.107113717999,1454.225118962622,2377.4313326404604,2947.4320721225527,2601.3493707511634,3422.0000222935455,1400.4404453661639,1235.5813496072453,2888.0069315874402
KJFK,6867.05238818525,11872.965768605623,7729.093708099038,6367.419669376641,6189.1542734461045,3365.6070797424704,10829.468019943439,10977.61138682235,5762.025471470951,0.0,11000.82939708662,11754.94829850792,5833.386425117882,8027.011333646928,8534.711892841717,6480.773715334404,3929.667087827683,587.4088954268707,5885.3697807968165,5404.309620041176,6905.329783235579,6649.356410602336,5224.818687727301,6550.828678253268,12560.803274067739,5102.730002183939,7932.455806289573,6606.914800539541,6291.593874633475,6318.434484589655,5920.872953839785,5807.873795019511,4197.785190963327
