,EBBR,LFQQ,ESSA,CYVR,LFPG,EDDM,EFRO,ZSPD,EIDW,BIKF,EETN,EFHK,RJAA,VIDP,LKPR,CYYZ,SBGL,LTFM,EGPH,EHEH,LPPT,EDDF,ZBAA,MMMX,LDZA,SAEZ,LEMD,EDDT,LGAV,FACT,KJFK,LIRF,OMDB
EBBR,0,72,54,30,182,63,9,86,60,12,18,39,121,89,41,51,48,91,27,36,44,68,76,67,23,49,84,77,40,27,90,66,38
LFQQ,74,0,39,26,175,49,6,65,51,9,15,27,79,61,34,38,41,71,17,23,32,55,61,59,23,39,53,52,37,24,74,56,34
ESSA,52,39,0,30,124,57,9,79,49,10,29,59,112,98,39,54,60,101,22,18,36,53,97,72,26,52,57,76,46,29,108,59,44
CYVR,32,25,34,0,75,32,6,77,31,9,14,30,109,78,27,70,53,67,13,12,30,40,75,93,17,49,48,47,29,26,111,42,33
LFPG,177,152,123,65,0,151,17,189,144,29,48,87,292,210,103,127,142,239,67,58,116,182,218,172,60,130,204,171,120,73,232,181,99
EDDM,62,62,59,41,149,0,11,95,48,15,22,47,131,105,73,68,53,109,27,24,50,101,93,76,34,58,96,99,60,33,97,75,46
EFRO,8,7,11,6,20,10,0,18,8,2,4,8,24,19,7,11,10,16,4,3,6,9,16,15,4,10,13,13,9,5,19,10,7
ZSPD,86,66,96,92,190,97,16,0,82,23,36,76,507,289,73,134,118,175,38,30,80,92,348,205,39,131,121,107,93,66,255,104,101
EIDW,56,43,48,34,127,62,8,88,0,14,20,41,121,80,37,58,47,80,29,20,38,55,73,75,25,52,79,64,40,29,103,58,35
BIKF,12,9,12,10,29,11,1,20,12,0,5,10,34,25,8,17,16,22,6,4,10,11,24,24,5,15,18,17,12,8,30,16,11
EETN,19,12,28,13,39,23,5,30,17,4,0,32,42,36,14,18,21,40,8,6,13,23,36,26,11,24,23,30,18,11,38,22,18
EFHK,37,29,53,30,96,45,10,76,36,9,29,0,95,74,35,39,46,84,15,14,28,42,77,62,20,39,49,53,33,24,73,53,32
RJAA,105,76,116,124,292,136,28,492,107,31,40,77,0,310,87,207,172,273,49,36,79,140,465,255,58,193,204,169,110,105,354,145,127
VIDP,76,61,86,74,203,106,18,305,91,23,37,65,316,0,81,129,127,221,37,30,74,95,270,196,51,110,143,119,97,75,207,122,128
LKPR,43,41,42,23,105,65,7,69,39,10,15,30,86,74,0,44,50,94,20,15,30,53,65,55,26,43,53,83,37,23,78,60,34
CYYZ,53,42,56,62,155,70,11,121,59,16,17,47,184,135,41,0,105,105,27,19,54,62,118,164,25,91,87,70,53,49,308,71,58
SBGL,54,43,49,52,115,66,10,119,63,15,19,41,171,134,45,81,0,110,27,22,51,66,112,134,26,160,80,81,62,55,159,73,57
LTFM,87,69,95,63,229,120,14,167,85,23,40,76,253,211,67,108,113,0,40,36,80,96,197,142,55,102,140,125,140,59,169,145,85
EGPH,28,22,23,14,67,27,4,39,32,7,9,18,50,39,20,27,28,40,0,9,19,25,38,34,10,25,37,33,20,14,52,28,16
EHEH,39,26,16,11,60,25,3,29,21,4,7,13,40,34,15,18,22,29,8,0,14,30,29,25,9,18,26,32,13,11,34,26,13
LPPT,48,36,43,30,115,41,7,72,41,11,12,25,78,69,30,49,50,83,20,17,0,45,63,60,21,46,82,52,37,28,87,64,29
EDDF,72,66,59,35,197,93,10,85,57,12,22,43,131,99,56,57,65,109,30,31,46,0,88,77,29,51,99,96,49,32,106,85,40
ZBAA,83,65,81,70,198,96,15,330,83,22,35,67,404,257,74,133,128,191,41,28,67,72,0,152,41,107,113,117,92,54,223,111,110
MMMX,67,67,65,91,160,78,14,159,69,21,27,60,252,179,60,153,146,129,31,31,64,79,163,0,31,125,102,103,69,68,242,92,77
LDZA,23,20,24,15,65,36,4,40,22,5,8,19,60,40,26,26,29,50,11,9,21,32,40,36,0,26,35,46,33,15,48,49,21
SAEZ,47,39,53,52,134,57,10,117,54,13,21,36,198,119,41,92,144,102,25,18,58,48,108,133,24,0,71,68,56,60,148,75,66
LEMD,72,60,66,45,192,79,11,122,76,17,23,47,162,128,56,71,82,122,27,29,90,97,117,122,40,75,0,94,71,40,160,95,57
EDDT,82,62,87,43,193,102,13,123,74,18,28,66,148,123,94,81,76,124,36,33,60,108,106,91,36,62,101,0,65,39,142,109,55
LGAV,43,36,48,27,111,51,7,77,44,10,19,41,138,95,42,55,60,132,21,15,42,56,78,66,27,52,72,63,0,30,86,84,44
FACT,25,21,30,27,74,32,5,61,29,8,13,22,89,76,27,40,67,70,13,9,28,30,71,71,15,59,48,45,26,0,76,41,37
KJFK,93,70,92,122,244,112,20,190,83,35,37,72,379,219,87,290,164,204,48,33,97,119,191,255,47,168,155,145,100,68,0,128,96
LIRF,66,48,75,40,182,92,10,132,64,16,25,50,129,140,60,63,84,133,32,25,66,83,116,99,46,77,109,108,74,36,144,0,66
OMDB,41,31,45,33,80,46,8,95,41,9,16,35,137,126,39,49,59,107,16,14,39,43,94,75,22,53,65,62,42,31,111,65,0
