,CYVR,VIDP,ZSPD,ZBAA,BIKF,SAEZ,LKPR,LGAV,FACT,LEMD,EDDT,EBBR,LFQQ,LDZA,EIDW,EFHK,EGPH,CYYZ,LPPT,LIME,EETN,LFPG,SBGL,EDDF,KJFK,OMDB,ESSA,EHEH,RJAA,EFRO,LTFM,EDDM,MMMX
CYVR,0,71,82,81,10,51,26,30,21,51,38,31,25,16,31,26,16,69,34,66,13,74,57,31,104,34,31,11,131,7,55,27,86
VIDP,80,0,266,242,21,105,74,111,81,120,118,85,70,52,92,90,34,121,78,193,31,220,132,98,208,138,91,28,358,18,223,104,166
ZSPD,87,235,0,344,24,123,63,81,67,144,127,86,58,44,86,73,43,126,76,177,35,221,131,87,237,97,84,32,508,16,157,92,175
ZBAA,66,222,390,0,23,107,70,87,72,108,115,79,56,45,69,65,33,111,75,149,34,164,108,86,232,102,80,29,475,18,180,83,157
BIKF,9,25,28,20,0,14,11,12,8,18,17,13,10,6,13,10,5,18,11,25,4,32,16,13,33,11,13,4,32,2,23,14,23
SAEZ,49,134,117,108,16,0,44,57,56,74,66,51,35,29,48,42,25,77,52,105,20,135,142,48,155,51,48,20,180,9,102,59,138
LKPR,28,79,72,61,9,45,0,38,24,52,86,49,38,26,42,33,17,43,37,96,18,107,46,62,88,33,46,18,101,6,78,69,50
LGAV,30,100,88,77,13,51,35,0,31,73,66,46,31,27,35,39,18,54,40,113,21,118,64,45,99,46,46,16,101,8,127,55,59
FACT,24,78,69,65,8,53,22,26,0,49,39,29,20,17,31,22,15,44,27,64,11,55,63,32,77,38,31,12,99,5,65,33,64
LEMD,50,131,134,114,19,72,58,83,41,0,89,83,64,40,84,55,33,74,92,151,28,186,81,82,163,60,57,24,182,13,144,80,118
EDDT,44,135,103,114,16,75,80,76,41,90,0,84,58,44,75,63,28,71,57,161,27,224,60,88,122,57,70,32,159,11,124,108,92
EBBR,30,101,88,89,12,43,40,46,30,63,91,0,70,25,59,37,27,51,49,110,22,200,52,76,95,43,52,38,112,8,81,69,70
LFQQ,23,70,67,61,9,39,34,37,23,60,59,72,0,21,43,30,20,46,33,101,15,174,37,58,78,34,40,21,85,6,62,50,55
LDZA,16,51,41,41,6,22,25,31,12,32,42,26,21,0,24,19,12,27,22,61,8,63,32,29,58,25,27,10,59,3,57,35,30
EIDW,32,89,87,87,14,52,41,40,32,73,71,58,48,24,0,39,32,53,40,103,18,147,62,57,112,41,56,22,125,9,90,58,73
EFHK,26,66,72,79,8,42,26,32,25,52,66,37,29,20,37,0,18,41,31,75,32,85,42,38,86,34,55,12,97,9,71,50,57
EGPH,14,41,40,38,6,23,19,21,11,37,32,24,22,12,31,18,0,26,19,48,8,57,25,30,50,17,21,9,59,4,34,28,32
CYYZ,64,115,142,121,16,89,46,48,37,93,65,56,43,25,55,38,28,0,50,100,22,131,114,60,305,53,55,20,150,11,102,50,158
LPPT,30,82,67,76,11,48,26,45,25,96,58,42,32,22,43,31,22,51,0,86,13,113,57,44,101,32,36,15,116,7,77,49,69
LIME,60,209,154,159,25,112,95,104,62,177,164,99,91,68,92,82,50,109,82,0,37,273,114,124,214,81,84,41,261,18,181,180,136
EETN,12,32,34,33,5,24,16,20,11,26,29,16,12,9,17,30,8,21,16,41,0,42,22,21,39,16,23,7,46,4,40,22,33
LFPG,67,208,185,161,29,125,103,105,63,219,185,192,151,60,140,82,64,134,108,304,39,0,116,187,234,85,117,54,285,17,196,149,150
SBGL,59,132,117,130,15,154,40,55,58,89,78,54,46,30,62,47,25,99,60,111,20,138,0,56,208,61,52,16,167,13,137,65,153
EDDF,32,98,90,85,12,47,55,48,31,70,107,82,63,37,55,42,27,57,45,145,19,164,60,0,101,47,54,26,108,9,102,88,66
KJFK,101,216,220,217,27,153,74,80,83,147,127,94,71,56,113,74,53,303,97,173,44,261,178,106,0,105,91,33,289,21,187,103,264
OMDB,31,123,101,105,10,50,32,47,38,65,59,39,34,18,43,35,17,58,35,91,15,94,59,38,89,0,35,16,131,8,101,40,76
ESSA,36,93,79,94,13,41,46,39,29,76,85,53,34,25,46,50,26,47,33,98,29,125,56,62,95,39,0,16,113,11,85,66,70
EHEH,12,32,29,30,4,20,16,16,9,26,31,38,20,9,21,15,9,20,15,41,5,64,21,29,36,15,18,0,38,3,28,27,25
RJAA,118,362,433,381,34,180,97,115,91,172,156,125,93,68,113,97,54,183,97,222,48,281,163,118,321,122,132,42,0,26,257,130,249
EFRO,7,18,17,16,2,9,7,8,5,12,12,8,6,4,7,10,4,10,6,17,4,20,12,10,20,7,11,3,23,0,17,9,13
LTFM,61,191,197,153,22,115,73,144,62,141,128,99,65,53,92,84,42,103,76,207,34,218,101,83,157,90,92,32,240,16,0,111,149
EDDM,33,112,92,86,11,55,70,54,32,88,104,64,53,37,58,45,29,56,47,163,21,168,62,90,103,46,59,26,128,9,119,0,86
MMMX,69,181,151,155,22,125,54,72,65,107,90,70,60,40,82,63,32,170,71,142,29,170,154,70,274,68,74,25,318,13,137,83,0
