,EETN,OMDB,LDZA,LFQQ,LGAV,CYYZ,EFRO,LIMC,LPPT,EGPH,LEMD,CYVR,EFHK,ZSPD,EDDT,KJFK,LTFM,EDDM,LKPR,SAEZ,EDDF,ZBAA,VIDP,RJAA,EIDW,LFPG,MMMX,EHEH,ESSA,EBBR,SBGL,FACT,BIKF
EETN,0,16,10,15,16,23,5,31,14,9,24,13,32,33,30,43,33,21,17,19,21,35,30,58,18,42,29,6,23,16,24,10,5
OMDB,16,0,23,28,49,50,8,85,37,20,57,33,32,104,57,102,103,50,31,59,47,103,132,142,43,102,81,14,40,37,58,33,10
LDZA,11,21,0,19,32,30,4,70,21,11,37,16,18,46,35,51,54,37,28,24,34,39,51,55,23,65,37,9,26,27,26,14,6
LFQQ,15,32,21,0,35,46,6,94,29,22,60,25,31,61,65,69,72,54,37,37,54,54,64,81,40,138,51,24,36,63,46,21,9
LGAV,18,47,29,32,0,50,7,97,40,21,72,32,30,75,64,102,126,51,40,57,51,81,117,121,42,121,68,17,47,52,60,29,9
CYYZ,20,56,26,42,53,0,11,111,57,24,87,73,49,152,66,325,107,59,38,75,56,122,122,192,54,130,152,18,49,51,91,45,17
EFRO,5,9,4,7,7,10,0,17,7,5,10,6,8,17,11,18,16,10,7,8,10,16,16,24,6,25,14,3,12,9,9,5,2
LIMC,39,84,69,94,95,103,15,0,95,40,172,51,80,162,168,195,190,156,102,105,126,139,181,247,79,330,135,39,96,111,118,51,25
LPPT,15,35,21,40,46,53,7,91,0,19,107,32,35,77,58,99,81,45,28,50,43,64,85,94,45,86,70,15,37,38,61,33,10
EGPH,7,18,12,24,23,26,4,51,21,0,34,17,16,37,29,45,40,27,20,24,29,36,38,53,29,69,40,9,23,27,28,10,7
LEMD,27,59,39,59,57,70,13,165,77,30,0,46,53,120,114,164,143,79,61,82,75,120,130,178,74,207,125,25,80,74,86,43,17
CYVR,12,30,14,25,35,63,6,62,30,17,48,0,33,87,40,112,72,29,26,47,35,80,81,116,34,89,86,11,35,33,49,24,9
EFHK,32,27,17,28,41,48,9,70,34,19,49,29,0,70,56,89,64,48,34,40,44,72,75,100,36,92,58,14,57,37,48,22,8
ZSPD,33,98,41,66,91,132,18,170,79,39,129,80,67,0,117,267,190,96,72,115,93,337,292,472,74,211,173,31,83,77,130,85,25
EDDT,36,59,41,56,67,73,14,141,53,30,111,50,60,111,0,123,118,97,79,69,96,114,116,176,78,200,95,30,81,88,85,41,17
KJFK,35,89,49,67,87,311,18,178,105,49,140,116,87,231,152,0,184,110,73,139,97,195,210,311,104,247,220,34,90,107,160,82,32
LTFM,34,90,60,76,121,108,15,177,68,35,123,67,74,173,118,174,0,108,93,94,84,145,210,247,81,229,146,29,89,91,115,57,22
EDDM,22,46,39,49,56,54,10,150,52,21,93,32,43,83,90,112,95,0,76,56,89,82,99,139,55,153,88,24,52,69,63,32,13
LKPR,17,37,28,31,42,39,6,91,33,19,55,28,34,65,93,71,80,68,0,42,58,67,73,88,39,121,44,18,44,50,38,23,10
SAEZ,19,62,25,45,42,87,9,93,49,22,85,52,32,120,67,148,104,62,40,0,53,127,108,165,45,132,126,19,41,50,142,61,14
EDDF,21,43,31,66,50,58,8,118,48,24,88,30,45,91,92,109,108,77,58,52,0,89,97,118,56,183,77,26,59,67,55,33,12
ZBAA,30,90,45,65,88,122,16,158,60,41,125,83,74,354,117,204,188,96,68,106,92,0,235,445,81,162,173,28,84,80,106,64,22
VIDP,28,119,53,64,109,121,14,179,80,39,119,71,73,235,124,188,207,101,70,133,91,236,0,362,91,201,177,28,116,88,139,84,24
RJAA,47,157,60,90,98,173,24,201,94,55,184,134,96,439,172,353,248,137,90,172,104,425,349,0,129,272,219,43,114,109,156,93,30
EIDW,17,34,22,42,47,52,7,101,42,34,82,36,36,74,60,94,86,58,44,51,50,72,89,120,0,137,57,18,41,63,59,29,13
LFPG,43,91,68,164,119,140,20,299,119,63,189,74,100,176,208,250,225,142,106,128,181,192,247,278,136,0,179,63,120,184,139,61,31
MMMX,27,76,36,66,71,174,12,143,67,31,116,102,54,178,97,287,136,69,52,131,75,158,186,226,71,170,0,22,83,76,138,69,23
EHEH,8,14,9,20,16,19,2,41,13,8,30,10,13,28,30,35,34,23,18,20,32,29,29,37,19,62,25,0,17,32,21,8,4
ESSA,27,37,27,40,43,62,8,85,38,27,71,30,51,95,76,102,84,59,40,54,58,75,84,110,48,114,68,15,0,54,52,32,13
EBBR,18,42,23,74,51,56,10,92,39,27,77,32,40,73,81,110,80,70,43,46,74,80,92,115,60,169,70,40,49,0,53,28,13
SBGL,22,66,31,40,59,102,10,112,62,28,94,47,44,125,74,165,121,60,46,156,61,125,127,188,54,155,139,19,58,55,0,59,17
FACT,12,37,16,20,30,42,6,60,25,13,43,28,23,69,35,70,59,33,23,59,31,62,75,96,33,73,62,10,32,27,72,0,8
BIKF,5,12,6,9,10,17,2,23,11,7,15,9,10,23,18,32,22,14,9,15,13,22,22,33,13,31,20,3,14,12,15,7,0
