,LIMC,EDDF,SBGL,LEMD,KJFK,CYYZ,CYVR,OMDB,VIDP,EDDM,MMMX,EDDT,LTFM,ZBAA,SAEZ,LFPG,RJAA,ZSPD,EBBR,LDZA,EGPH,LPPT,ESSA,FACT,BIKF,LFQQ,LKPR,LGAV,EFHK,EIDW,EFRO,EETN,EHEH
LIMC,0.0,490.1396104415254,9240.443773621446,1148.5660668194528,6411.630216485815,6609.43313822485,8490.289487372997,4708.190352626581,6159.502244229665,382.4534017470018,9775.445770070051,839.4229173232067,1683.3050965704033,8094.086522767396,11200.030488781033,597.647227692862,9749.009266937597,9145.462921839513,664.3952506566018,571.2976495991094,1423.7549912527588,1650.4062874119006,1675.0268443034151,8906.660841148243,2789.8815830930635,689.0474073989398,647.0153232599317,1521.438716868451,1951.0929540754787,1381.192654254011,2538.132936085888,1870.2436430922335,692.3835754883867
EDDF,490.1396104415254,0.0,9568.283601551813,1422.050572145159,6189.1542734461045,6342.662219553331,8062.180754267541,4842.872064752151,6121.185112535329,299.0736493547062,9551.980932636412,431.6826244968808,1837.858012568955,7788.395209245619,11502.137750607373,449.00506895345995,9366.014476753255,8857.834873324387,304.70667836915743,734.44155732098,1032.8584656977316,1873.84706028188,1222.987175365273,9393.055953949077,2379.55963806095,392.7983156454291,406.27801971921986,1815.8370182307754,1537.9389925099097,1086.8940196113897,2079.668281738598,1467.8755620952131,274.34672759363383
SBGL,9240.443773621446,9568.283601551813,0.0,8146.258928316377,7729.093708099038,8271.186132408277,11212.325649046332,11884.360300095565,14063.511167522962,9616.447470619587,7665.076602134776,9999.899573136834,10271.767959942494,17318.624718116444,1995.428353470573,9184.123131785209,18531.195791108297,18271.284864397905,9432.38980302497,9684.845164511811,9529.814395113926,7714.979604082941,10709.342326685113,6087.871598998781,9842.304164811861,9339.141101101264,9879.080082772547,9730.98460712888,11078.85214073269,9192.749867185408,11451.376242794004,11021.75343361116,9519.607478719365
LEMD,1148.5660668194528,1422.050572145159,8146.258928316377,0.0,5762.025471470951,6058.631933989723,8426.398460222947,5648.573067280119,7255.328214906565,1496.9693797182808,9066.890918984103,1853.640992836451,2702.2488319417575,9206.378510653298,10084.891062660701,1064.514287652328,10771.365389773611,10270.038168674499,1315.552739483112,1692.5382745319923,1721.1421621023853,512.8845584370001,2601.3493707511634,8584.107113717999,2888.0069315874402,1235.5813496072453,1750.6615229202562,2377.4313326404604,2947.4320721225527,1454.225118962622,3422.0000222935455,2883.3149200833927,1400.4404453661639
KJFK,6411.630216485815,6189.1542734461045,7729.093708099038,5762.025471470951,0.0,587.4088954268707,3929.667087827683,11000.82939708662,11754.94829850792,6480.773715334404,3365.6070797424704,6367.419669376641,8027.011333646928,10977.61138682235,8534.711892841717,5833.386425117882,10829.468019943439,11872.965768605623,5885.3697807968165,6905.329783235579,5224.818687727301,5404.309620041176,6291.593874633475,12560.803274067739,4197.785190963327,5807.873795019511,6550.828678253268,7932.455806289573,6606.914800539541,5102.730002183939,6318.434484589655,6649.356410602336,5920.872953839785
CYYZ,6609.43313822485,6342.662219553331,8271.186132408277,6058.631933989723,587.4088954268707,0.0,3346.065262820104,11080.592571500489,11639.223104050201,6639.638079367699,3247.890977992751,6477.895440186134,8171.274964889148,10560.263711728265,8985.871186138354,6018.511701618143,10299.375959386833,11414.11558758609,6043.2341631455665,7071.777341214486,5342.430556810266,5739.078245285105,6311.706893929508,13136.631844292497,4202.689344520942,5973.892370679363,6682.817209516884,8127.399159836934,6598.71606358994,5259.66456365284,6243.416783834656,6650.662663103135,6069.742465228985
CYVR,8490.289487372997,8062.180754267541,11212.325649046332,8426.398460222947,3929.667087827683,3346.065262820104,0.0,11735.171711494506,11138.384837166739,8340.059905344417,3944.571933641011,7979.429067098594,9588.351242168645,8491.592942617246,11306.011894863244,7924.983796384183,7503.3643827802725,9016.027042522252,7827.183480204533,8746.620493868128,7067.373027293543,8288.503867714651,7411.6744673739295,16465.20953208748,5701.731716788582,7804.029472119836,8252.779547259795,9800.56504320369,7505.149627195536,7164.329817709851,6878.634761429539,7595.2331088364135,7809.899033180775
OMDB,4708.190352626581,4842.872064752151,11884.360300095565,5648.573067280119,11000.82939708662,11080.592571500489,11735.171711494506,0.0,2183.190603769457,4563.68638327735,14328.390980757462,4634.536188630778,3027.9011773987722,5846.428408163956,13675.498953376862,5238.30373722851,7978.6421393820765,6448.573340149029,5147.156165772344,4162.586440529364,5776.784700011543,6137.549256169119,4784.718435844448,7644.498781549268,6885.950773003389,5233.556863398388,4463.278821580964,3271.3092464029237,4537.025110362885,5918.191105076748,5027.306459147683,4471.733222742804,5102.345397401615
VIDP,6159.502244229665,6121.185112535329,14063.511167522962,7255.328214906565,11754.94829850792,11639.223104050201,11138.384837166739,2183.190603769457,0.0,5899.979912189503,14662.708439597296,5785.915771305621,4566.047060442222,3811.22316900493,15794.490572393017,6565.92854943909,5909.250123279566,4292.294164011961,6399.817544030502,5589.209484397878,6836.246415386642,7767.803301105655,5583.875141564338,9282.845350520629,7593.777972803409,6501.080434257892,5714.970423703678,4983.851376266188,5223.847444426262,7074.36258815461,5439.118104243794,5200.6264450305825,6331.400341379829
EDDM,382.4534017470018,299.0736493547062,9616.447470619587,1496.9693797182808,6480.773715334404,6639.638079367699,8340.059905344417,4563.68638327735,5899.979912189503,0.0,9844.86446381779,479.5750967765883,1547.9829132915345,7721.985707506109,11571.029543749757,681.5692933331298,9366.60393351221,8778.291229474024,596.828250612871,435.372805823521,1330.3366233869128,1983.6079398270863,1317.3110466843007,9179.18835595483,2669.2628149565803,673.6101624423094,264.80111614065527,1517.8783303811158,1574.5399279099283,1381.2860601870107,2179.5591456309016,1491.5970050572942,573.3926461914037
